"Name";"PLZ";"Indikator"
"Ingolstadt (Krfr.St)";"09161";22950
"München, Landeshauptstadt";"09162";29685
"Rosenheim (Krfr.St)";"09163";22279
"Altötting (Lr)";"09171";22865
"Berchtesgadener Land (Lkr)";"09172";22132
"Bad Tölz-Wolfratshausen (Lkr)";"09173";25486
"Dachau (Lkr)";"09174";24411
"Ebersberg (Lkr)";"09175";26614
"Eichstätt (Lkr)";"09176";23779
"Erding (Lkr)";"09177";24172
"Freising (Lkr)";"09178";23210
"Fürstenfeldbruck (Lkr)";"09179";25055
"Garmisch-Partenkirchen (Lkr)";"09180";23933
"Landsberg am Lech (Lkr)";"09181";24671
"Miesbach (Lkr)";"09182";28017
"Mühldorf a.Inn (Lkr)";"09183";22935
"München (Lkr)";"09184";29891
"Neuburg-Schrobenhausen (Lkr)";"09185";22558
"Pfaffenhofen a.d.Ilm (Lkr)";"09186";24891
"Rosenheim (Lkr)";"09187";24524
"Starnberg (Lkr)";"09188";34987
"Traunstein (Lkr)";"09189";23908
"Weilheim-Schongau (Lkr)";"09190";23691
"Landshut (Krfr.St)";"09261";23847
"Passau (Krfr.St)";"09262";20730
"Straubing (Krfr.St)";"09263";21736
"Deggendorf (Lkr)";"09271";21776
"Freyung-Grafenau (Lkr)";"09272";20108
"Kelheim (Lkr)";"09273";22451
"Landshut (Lkr)";"09274";22958
"Passau (Lkr)";"09275";21146
"Regen (Lkr)";"09276";20464
"Rottal-Inn (Lkr)";"09277";22109
"Straubing-Bogen (Lkr)";"09278";21801
"Dingolfing-Landau (Lkr)";"09279";23052
"Amberg (Krfr.St)";"09361";21583
"Regensburg (Krfr.St)";"09362";21866
"Weiden i.d.OPf. (Krfr.St)";"09363";20818
"Amberg-Sulzbach (Lkr)";"09371";21427
"Cham (Lkr)";"09372";21238
"Neumarkt i.d.OPf. (Lkr)";"09373";22950
"Neustadt a.d.Waldnaab (Lkr)";"09374";21083
"Regensburg (Lkr)";"09375";23001
"Schwandorf (Lkr)";"09376";20927
"Tirschenreuth (Lkr)";"09377";21082
"Bamberg (Krfr.St)";"09461";21031
"Bayreuth (Krfr.St)";"09462";20905
"Coburg (Krfr.St)";"09463";23911
"Hof (Krfr.St)";"09464";19957
"Bamberg (Lkr)";"09471";22646
"Bayreuth (Lkr)";"09472";21512
"Coburg (Lkr)";"09473";25069
"Forchheim (Lkr)";"09474";23187
"Hof (Lkr)";"09475";21358
"Kronach (Lkr)";"09476";22102
"Kulmbach (Lkr)";"09477";22462
"Lichtenfels (Lkr)";"09478";21156
"Wunsiedel i.Fichtelgebirge (Lkr)";"09479";22111
"Ansbach (Krfr.St)";"09561";20737
"Erlangen (Krfr.St)";"09562";23528
"Fürth (Krfr.St)";"09563";23061
"Nürnberg (Krfr.St)";"09564";21785
"Schwabach (Krfr.St)";"09565";25418
"Ansbach (Lkr)";"09571";22629
"Erlangen-Höchstadt (Lkr)";"09572";25135
"Fürth (Lkr)";"09573";24337
"Nürnberger Land (Lkr)";"09574";24993
"Neustadt a.d.Aisch-Bad Windsheim (Lkr)";"09575";22380
"Roth (Lkr)";"09576";23592
"Weißenburg-Gunzenhausen (Lkr)";"09577";22044
"Aschaffenburg (Krfr.St)";"09661";23918
"Schweinfurt (Krfr.St)";"09662";21088
"Würzburg (Krfr.St)";"09663";23380
"Aschaffenburg (Lkr)";"09671";23756
"Bad Kissingen (Lkr)";"09672";21738
"Rhön-Grabfeld (Lkr)";"09673";21543
"Haßberge (Lkr)";"09674";21147
"Kitzingen (Lkr)";"09675";23748
"Miltenberg (Lkr)";"09676";22544
"Main-Spessart (Lkr)";"09677";22524
"Schweinfurt (Lkr)";"09678";21896
"Würzburg (Lkr)";"09679";22762
"Augsburg (Krfr.St)";"09761";19203
"Kaufbeuren (Krfr.St)";"09762";21906
"Kempten (Allgäu) (Krfr.St)";"09763";21551
"Memmingen (Krfr.St)";"09764";26941
"Aichach-Friedberg (Lkr)";"09771";24748
"Augsburg (Lkr)";"09772";24043
"Dillingen a.d.Donau (Lkr)";"09773";23162
"Günzburg (Lkr)";"09774";23362
"Neu-Ulm (Lkr)";"09775";23442
"Lindau (Bodensee) (Lkr)";"09776";24656
"Ostallgäu (Lkr)";"09777";23281
"Unterallgäu (Lkr)";"09778";24933
"Donau-Ries (Lkr)";"09779";24066
"Oberallgäu (Lkr)";"09780";23482
