"Name";"PLZ";"Indikator"
"Ingolstadt (Krfr.St)";"09161";75
"München, Landeshauptstadt";"09162";493
"Rosenheim (Krfr.St)";"09163";1312
"Altötting (Lkr)";"09171";854
"Berchtesgadener Land (Lkr)";"09172";811
"Bad Tölz-Wolfratshausen (Lkr)";"09173";442
"Dachau (Lkr)";"09174";489
"Ebersberg (Lkr)";"09175";626
"Eichstätt (Lkr)";"09176";232
"Erding (Lkr)";"09177";520
"Freising (Lkr)";"09178";662
"Fürstenfeldbruck (Lkr)";"09179";440
"Garmisch-Partenkirchen (Lkr)";"09180";681
"Landsberg am Lech (Lkr)";"09181";861
"Miesbach (Lkr)";"09182";1097
"Mühldorf a.Inn (Lkr)";"09183";662
"München (Lkr)";"09184";405
"Neuburg-Schrobenhausen (Lkr)";"09185";571
"Pfaffenhofen a.d.Ilm (Lkr)";"09186";328
"Rosenheim (Lkr)";"09187";568
"Starnberg (Lkr)";"09188";412
"Traunstein (Lkr)";"09189";445
"Weilheim-Schongau (Lkr)";"09190";373
"Landshut (Krfr.St)";"09261";1900
"Passau (Krfr.St)";"09262";2829
"Straubing (Krfr.St)";"09263";1932
"Deggendorf (Lkr)";"09271";610
"Freyung-Grafenau (Lkr)";"09272";1090
"Kelheim (Lkr)";"09273";285
"Landshut (Lkr)";"09274";274
"Passau (Lkr)";"09275";913
"Regen (Lkr)";"09276";1326
"Rottal-Inn (Lkr)";"09277";1079
"Straubing-Bogen (Lkr)";"09278";369
"Dingolfing-Landau (Lkr)";"09279";257
"Amberg (Krfr.St)";"09361";675
"Regensburg (Krfr.St)";"09362";887
"Weiden i.d.OPf. (Krfr.St)";"09363";1511
"Amberg-Sulzbach (Lkr)";"09371";1363
"Cham (Lkr)";"09372";973
"Neumarkt i.d.OPf. (Lkr)";"09373";216
"Neustadt a.d.Waldnaab (Lkr)";"09374";567
"Regensburg (Lkr)";"09375";383
"Schwandorf (Lkr)";"09376";911
"Tirschenreuth (Lkr)";"09377";1061
"Bamberg (Krfr.St)";"09461";226
"Bayreuth (Krfr.St)";"09462";1479
"Coburg (Krfr.St)";"09463";432
"Hof (Krfr.St)";"09464";1784
"Bamberg (Lkr)";"09471";335
"Bayreuth (Lkr)";"09472";1456
"Coburg (Lkr)";"09473";677
"Forchheim (Lkr)";"09474";573
"Hof (Lkr)";"09475";733
"Kronach (Lkr)";"09476";1290
"Kulmbach (Lkr)";"09477";768
"Lichtenfels (Lkr)";"09478";1185
"Wunsiedel i.Fichtelgebirge (Lkr)";"09479";2292
"Ansbach (Krfr.St)";"09561";628
"Erlangen (Krfr.St)";"09562";1399
"Fürth (Krfr.St)";"09563";1775
"Nürnberg (Krfr.St)";"09564";2737
"Schwabach (Krfr.St)";"09565";1218
"Ansbach (Lkr)";"09571";720
"Erlangen-Höchstadt (Lkr)";"09572";500
"Fürth (Lkr)";"09573";881
"Nürnberger Land (Lkr)";"09574";636
"Neustadt a.d.Aisch-Bad Windsheim (Lkr)";"09575";652
"Roth (Lkr)";"09576";414
"Weißenburg-Gunzenhausen (Lkr)";"09577";612
"Aschaffenburg (Krfr.St)";"09661";915
"Schweinfurt (Krfr.St)";"09662";437
"Würzburg (Krfr.St)";"09663";1795
"Aschaffenburg (Lkr)";"09671";468
"Bad Kissingen (Lkr)";"09672";560
"Rhön-Grabfeld (Lkr)";"09673";754
"Haßberge (Lkr)";"09674";586
"Kitzingen (Lkr)";"09675";376
"Miltenberg (Lkr)";"09676";743
"Main-Spessart (Lkr)";"09677";518
"Schweinfurt (Lkr)";"09678";408
"Würzburg (Lkr)";"09679";503
"Augsburg (Krfr.St)";"09761";1400
"Kaufbeuren (Krfr.St)";"09762";594
"Kempten (Allgäu) (Krfr.St)";"09763";38
"Memmingen (Krfr.St)";"09764";581
"Aichach-Friedberg (Lkr)";"09771";434
"Augsburg (Lkr)";"09772";357
"Dillingen a.d.Donau (Lkr)";"09773";784
"Günzburg (Lkr)";"09774";479
"Neu-Ulm (Lkr)";"09775";445
"Lindau (Bodensee) (Lkr)";"09776";791
"Ostallgäu (Lkr)";"09777";1045
"Unterallgäu (Lkr)";"09778";570
"Donau-Ries (Lkr)";"09779";570
"Oberallgäu (Lkr)";"09780";1247
