"Name";"PLZ";"Indikator"
"Ingolstadt (Krfr.St)";"09161";59154
"München, Landeshauptstadt";09162";53389
"Rosenheim (Krfr.St)";"09163";39979
"Altötting (Lkr)";"09171";44587
"Berchtesgadener Land (Lkr)";"09172";36464
"Bad Tölz-Wolfratshausen (Lkr)";"09173";37988
"Dachau (Lkr)";"09174";39050
"Ebersberg (Lkr)";"09175";40686
"Eichstätt (Lkr)";"09176";38208
"Erding (Lkr)";"09177";38024
"Freising (Lkr)";"09178";48296
"Fürstenfeldbruck (Lkr)";"09179";40646
"Garmisch-Partenkirchen (Lkr)";"09180";35929
"Landsberg am Lech (Lkr)";"09181";41290
"Miesbach (Lkr)";"09182";37781
"Mühldorf a.Inn (Lkr)";"09183";37777
"München (Lkr)";"09184";56836
"Neuburg-Schrobenhausen (Lkr)";"09185";37263
"Pfaffenhofen a.d.Ilm (Lkr)";"09186";46241
"Rosenheim (Lkr)";"09187";37841
"Starnberg (Lkr)";"09188";45480
"Traunstein (Lkr)";"09189";40305
"Weilheim-Schongau (Lkr)";"09190";41092
"Landshut (Krfr.St)";"09261";39501
"Passau (Krfr.St)";"09262";39108
"Straubing (Krfr.St)";"09263";38362
"Deggendorf (Lkr)";"09271";38353
"Freyung-Grafenau (Lkr)";"09272";32880
"Kelheim (Lkr)";"09273";37235
"Landshut (Lkr)";"09274";38671
"Passau (Lkr)";"09275";34061
"Regen (Lkr)";"09276";34296
"Rottal-Inn (Lkr)";"09277";34314
"Straubing-Bogen (Lkr)";"09278";34068
"Dingolfing-Landau (Lkr)";"09279";50194
"Amberg (Krfr.St)";"09361";41785
"Regensburg (Krfr.St)";"09362";47700
"Weiden i.d.OPf. (Krfr.St)";"09363";35097
"Amberg-Sulzbach (Lkr)";"09371";37095
"Cham (Lkr)";"09372";34309
"Neumarkt i.d.OPf. (Lkr)";"09373";37932
"Neustadt a.d.Waldnaab (Lkr)";"09374";36155
"Regensburg (Lkr)";"09375";38466
"Schwandorf (Lkr)";"09376";37003
"Tirschenreuth (Lkr)";"09377";36671
"Bamberg (Krfr.St)";"09461";38672
"Bayreuth (Krfr.St)";"09462";40225
"Coburg (Krfr.St)";"09463";48982
"Hof (Krfr.St)";"09464";36268
"Bamberg (Lkr)";"09471";36205
"Bayreuth (Lkr)";"09472";36563
"Coburg (Lkr)";"09473";34349
"Forchheim (Lkr)";"09474";38740
"Hof (Lkr)";"09475";37398
"Kronach (Lkr)";"09476";35186
"Kulmbach (Lkr)";"09477";37462
"Lichtenfels (Lkr)";"09478";36413
"Wunsiedel i.Fichtelgebirge (Lkr)";"09479";37473
"Ansbach (Krfr.St)";"09561";40341
"Erlangen (Krfr.St)";"09562";56356
"Fürth (Krfr.St)";"09563";43028
"Nürnberg (Krfr.St)";"09564";45637
"Schwabach (Krfr.St)";"09565";39368
"Ansbach (Lkr)";"09571";35433
"Erlangen-Höchstadt (Lkr)";"09572";42741
"Fürth (Lkr)";"09573";35230
"Nürnberger Land (Lkr)";"09574";39606
"Neustadt a.d.Aisch-Bad Windsheim (Lkr)";"09575";33807
"Roth (Lkr)";"09576";36638
"Weißenburg-Gunzenhausen (Lkr)";"09577";35602
"Aschaffenburg (Krfr.St)";"09661";41703
"Schweinfurt (Krfr.St)";"09662";47840
"Würzburg (Krfr.St)";"09663";39427
"Aschaffenburg (Lkr)";"09671";38646
"Bad Kissingen (Lkr)";"09672";35249
"Rhön-Grabfeld (Lkr)";"09673";37935
"Haßberge (Lkr)";"09674";34965
"Kitzingen (Lkr)";"09675";36313
"Miltenberg (Lkr)";"09676";37695
"Main-Spessart (Lkr)";"09677";41664
"Schweinfurt (Lkr)";"09678";33462
"Würzburg (Lkr)";"09679";36110
"Augsburg (Krfr.St)";"09761";43748
"Kaufbeuren (Krfr.St)";"09762";36090
"Kempten (Allgäu) (Krfr.St)";"09763";38896
"Memmingen (Krfr.St)";"09764";39989
"Aichach-Friedberg (Lkr)";"09771";34294
"Augsburg (Lkr)";"09772";37862
"Dillingen a.d.Donau (Lkr)";"09773";38004
"Günzburg (Lkr)";"09774";38984
"Neu-Ulm (Lkr)";"09775";42025
"Lindau (Bodensee) (Lkr)";"09776";40796
"Ostallgäu (Lkr)";"09777";39406
"Unterallgäu (Lkr)";"09778";40403
"Donau-Ries (Lkr)";"09779";41692
"Oberallgäu (Lkr)";"09780";36255
