"NAME";"PLZ";"INDIKATOR"
"Ingolstadt (Krfr.St)";"09161";9.3
"München, Landeshauptstadt";"09162";7.8
"Rosenheim (Krfr.St)";"09163";9.9
"Altötting (Lkr)";"09171";11.2
"Berchtesgadener Land (Lkr)";"09172";11
"Bad Tölz-Wolfratshausen (Lkr)";"09173";9.6
"Dachau (Lkr)";"09174";8.9
"Ebersberg (Lkr)";"09175";8.4
"Eichstätt (Lkr)";"09176";8.4
"Erding (Lkr)";"09177";8.1
"Freising (Lkr)";"09178";7.9
"Fürstenfeldbruck (Lkr)";"09179";9.5
"Garmisch-Partenkirchen (Lkr)";"09180";12
"Landsberg am Lech (Lkr)";"09181";8.7
"Miesbach (Lkr)";"09182";10.4
"Mühldorf a.Inn (Lkr)";"09183";11.5
"München (Lkr)";"09184";8.8
"Neuburg-Schrobenhausen (Lkr)";"09185";9.6
"Pfaffenhofen a.d.Ilm (Lkr)";"09186";9.3
"Rosenheim (Lkr)";"09187";10.5
"Starnberg (Lkr)";"09188";9.6
"Traunstein (Lkr)";"09189";11.2
"Weilheim-Schongau (Lkr)";"09190";10.5
"Landshut (Krfr.St)";"09261";11.9
"Passau (Krfr.St)";"09262";11.9
"Straubing (Krfr.St)";"09263";12.7
"Deggendorf (Lkr)";"09271";11.4
"Freyung-Grafenau (Lkr)";"09272";11.4
"Kelheim (Lkr)";"09273";9.8
"Landshut (Lkr)";"09274";9.3
"Passau (Lkr)";"09275";11.3
"Regen (Lkr)";"09276";12.3
"Rottal-Inn (Lkr)";"09277";11.7
"Straubing-Bogen (Lkr)";"09278";9.8
"Dingolfing-Landau (Lkr)";"09279";9.5
"Amberg (Krfr.St)";"09361";12.8
"Regensburg (Krfr.St)";"09362";9.2
"Weiden i.d.OPf. (Krfr.St)";"09363";11.2
"Amberg-Sulzbach (Lkr)";"09371";11.9
"Cham (Lkr)";"09372";11.9
"Neumarkt i.d.OPf. (Lkr)";"09373";10.3
"Neustadt a.d.Waldnaab (Lkr)";"09374";11.7
"Regensburg (Lkr)";"09375";9.4
"Schwandorf (Lkr)";"09376";10.5
"Tirschenreuth (Lkr)";"09377";13.4
"Bamberg (Krfr.St)";"09461";11
"Bayreuth (Krfr.St)";"09462";11.2
"Coburg (Krfr.St)";"09463";13.4
"Hof (Krfr.St)";"09464";14.6
"Bamberg (Lkr)";"09471";10.7
"Bayreuth (Lkr)";"09472";12
"Coburg (Lkr)";"09473";12.7
"Forchheim (Lkr)";"09474";10.1
"Hof (Lkr)";"09475";15.3
"Kronach (Lkr)";"09476";13.2
"Kulmbach (Lkr)";"09477";14
"Lichtenfels (Lkr)";"09478";13.3
"Wunsiedel i.Fichtelgebirge (Lkr)";"09479";16
"Ansbach (Krfr.St)";"09561";13.1
"Erlangen (Krfr.St)";"09562";10
"Fürth (Krfr.St)";"09563";10.7
"Nürnberg (Krfr.St)";"09564";11.2
"Schwabach (Krfr.St)";"09565";11.2
"Ansbach (Lkr)";"09571";11.5
"Erlangen-Höchstadt (Lkr)";"09572";9.6
"Fürth (Lkr)";"09573";11.2
"Nürnberger Land (Lkr)";"09574";11.4
"Neustadt a.d.Aisch-Bad Windsheim (Lkr)";"09575";11.6
"Roth (Lkr)";"09576";10.1
"Weißenburg-Gunzenhausen (Lkr)";"09577";12.1
"Aschaffenburg (Krfr.St)";"09661";11.9
"Schweinfurt (Krfr.St)";"09662";13.1
"Würzburg (Krfr.St)";"09663";11.1
"Aschaffenburg (Lkr)";"09671";10.1
"Bad Kissingen (Lkr)";"09672";13.1
"Rhön-Grabfeld (Lkr)";"09673";11.7
"Haßberge (Lkr)";"09674";11.3
"Kitzingen (Lkr)";"09675";10.8
"Miltenberg (Lkr)";"09676";10.9
"Main-Spessart (Lkr)";"09677";11.9
"Schweinfurt (Lkr)";"09678";11.1
"Würzburg (Lkr)";"09679";9.6
"Augsburg (Krfr.St)";"09761";10.2
"Kaufbeuren (Krfr.St)";"09762";12
"Kempten (Allgäu) (Krfr.St)";"09763";11.2
"Memmingen (Krfr.St)";"09764";12
"Aichach-Friedberg (Lkr)";"09771";8.9
"Augsburg (Lkr)";"09772";9.8
"Dillingen a.d.Donau (Lkr)";"09773";10.3
"Günzburg (Lkr)";"09774";9.7
"Neu-Ulm (Lkr)";"09775";9.2
"Lindau (Bodensee) (Lkr)";"09776";11.4
"Ostallgäu (Lkr)";"09777";9.9
"Unterallgäu (Lkr)";"09778";10.8
"Donau-Ries (Lkr)";"09779";10.2
"Oberallgäu (Lkr)";"09780";10.3
