"NAME";"PLZ";"INDIKATOR"
"Ingolstadt (Krfr.St)";"09161";3819
"München, Landeshauptstadt";"09162";10653
"Rosenheim (Krfr.St)";"09163";2942
"Altötting (Lkr)";"09171";2433
"Berchtesgadener Land (Lkr)";"09172";27547
"Bad Tölz-Wolfratshausen (Lkr)";"09173";9511
"Dachau (Lkr)";"09174";2198
"Ebersberg (Lkr)";"09175";3179
"Eichstätt (Lkr)";"09176";6591
"Erding (Lkr)";"09177";9353
"Freising (Lkr)";"09178";5430
"Fürstenfeldbruck (Lkr)";"09179";1300
"Garmisch-Partenkirchen (Lkr)";"09180";37902
"Landsberg am Lech (Lkr)";"09181";2246
"Miesbach (Lkr)";"09182";22934
"Mühldorf a.Inn (Lkr)";"09183";1734
"München (Lkr)";"09184";6779
"Neuburg-Schrobenhausen (Lkr)";"09185";1540
"Pfaffenhofen a.d.Ilm (Lkr)";"09186";2202
"Rosenheim (Lkr)";"09187";9645
"Starnberg (Lkr)";"09188";5222
"Traunstein (Lkr)";"09189";15987
"Weilheim-Schongau (Lkr)";"09190";4281
"Landshut (Krfr.St)";"09261";3342
"Passau (Krfr.St)";"09262";10622
"Straubing (Krfr.St)";"09263";3363
"Deggendorf (Lkr)";"09271";3816
"Freyung-Grafenau (Lkr)";"09272";18119
"Kelheim (Lkr)";"09273";7370
"Landshut (Lkr)";"09274";1558
"Passau (Lkr)";"09275";22108
"Regen (Lkr)";"09276";27481
"Rottal-Inn (Lkr)";"09277";8051
"Straubing-Bogen (Lkr)";"09278";6273
"Dingolfing-Landau (Lkr)";"09279";1645
"Amberg (Krfr.St)";"09361";1824
"Regensburg (Krfr.St)";"09362";7248
"Weiden i.d.OPf. (Krfr.St)";"09363";1875
"Amberg-Sulzbach (Lkr)";"09371";2762
"Cham (Lkr)";"09372";14966
"Neumarkt i.d.OPf. (Lkr)";"09373";3213
"Neustadt a.d.Waldnaab (Lkr)";"09374";2815
"Regensburg (Lkr)";"09375";2286
"Schwandorf (Lkr)";"09376";2698
"Tirschenreuth (Lkr)";"09377";5236
"Bamberg (Krfr.St)";"09461";8954
"Bayreuth (Krfr.St)";"09462";5211
"Coburg (Krfr.St)";"09463";3447
"Hof (Krfr.St)";"09464";3236
"Bamberg (Lkr)";"09471";2748
"Bayreuth (Lkr)";"09472";7025
"Coburg (Lkr)";"09473";3652
"Forchheim (Lkr)";"09474";3316
"Hof (Lkr)";"09475";5010
"Kronach (Lkr)";"09476";2632
"Kulmbach (Lkr)";"09477";3035
"Lichtenfels (Lkr)";"09478";9470
"Wunsiedel i.Fichtelgebirge (Lkr)";"09479";4961
"Ansbach (Krfr.St)";"09561";2526
"Erlangen (Krfr.St)";"09562";4620
"Fürth (Krfr.St)";"09563";1902
"Nürnberg (Krfr.St)";"09564";6479
"Schwabach (Krfr.St)";"09565";2134
"Ansbach (Lkr)";"09571";6642
"Erlangen-Höchstadt (Lkr)";"09572";3148
"Fürth (Lkr)";"09573";1733
"Nürnberger Land (Lkr)";"09574";2242
"Neustadt a.d.Aisch-Bad Windsheim (Lkr)";"09575";5909
"Roth (Lkr)";"09576";2693
"Weißenburg-Gunzenhausen (Lkr)";"09577";9097
"Aschaffenburg (Krfr.St)";"09661";2719
"Schweinfurt (Krfr.St)";"09662";4282
"Würzburg (Krfr.St)";"09663";7373
"Aschaffenburg (Lkr)";"09671";2814
"Bad Kissingen (Lkr)";"09672";21230
"Rhön-Grabfeld (Lkr)";"09673";10168
"Haßberge (Lkr)";"09674";2600
"Kitzingen (Lkr)";"09675";8025
"Miltenberg (Lkr)";"09676";2328
"Main-Spessart (Lkr)";"09677";3946
"Schweinfurt (Lkr)";"09678";900
"Würzburg (Lkr)";"09679";2861
"Augsburg (Krfr.St)";"09761";2745
"Kaufbeuren (Krfr.St)";"09762";2026
"Kempten (Allgäu) (Krfr.St)";"09763";4685
"Memmingen (Krfr.St)";"09764";4221
"Aichach-Friedberg (Lkr)";"09771";1729
"Augsburg (Lkr)";"09772";1565
"Dillingen a.d.Donau (Lkr)";"09773";2363
"Günzburg (Lkr)";"09774";6863
"Neu-Ulm (Lkr)";"09775";2679
"Lindau (Bodensee) (Lkr)";"09776";24088
"Ostallgäu (Lkr)";"09777";23406
"Unterallgäu (Lkr)";"09778";7604
"Donau-Ries (Lkr)";"09779";2863
"Oberallgäu (Lkr)";"09780";39162
