"Name";"PLZ";"Indikator"
"Ingolstadt (Krfr.St)";"09161";2
"München, Landeshauptstadt";"09162";1.9
"Rosenheim (Krfr.St)";"09163";1.9
"Altötting (Lkr)";"09171";2.1
"Berchtesgadener Land (Lkr)";"09172";2
"Bad Tölz-Wolfratshausen (Lkr)";"09173";2.1
"Dachau (Lkr)";"09174";2.2
"Ebersberg (Lkr)";"09175";2.3
"Eichstätt (Lkr)";"09176";2.3
"Erding (Lkr)";"09177";2.3
"Freising (Lkr)";"09178";2.2
"Fürstenfeldbruck (Lkr)";"09179";2.2
"Garmisch-Partenkirchen (Lkr)";"09180";1.9
"Landsberg am Lech (Lkr)";"09181";2.2
"Miesbach (Lkr)";"09182";2
"Mühldorf a.Inn (Lkr)";"09183";2.3
"München (Lkr)";"09184";2.1
"Neuburg-Schrobenhausen (Lkr)";"09185";2.2
"Pfaffenhofen a.d.Ilm (Lkr)";"09186";2.3
"Rosenheim (Lkr)";"09187";2.2
"Starnberg (Lkr)";"09188";2.1
"Traunstein (Lkr)";"09189";2
"Weilheim-Schongau (Lkr)";"09190";2.1
"Landshut (Krfr.St)";"09261";1.9
"Passau (Krfr.St)";"09262";1.6
"Straubing (Krfr.St)";"09263";1.9
"Deggendorf (Lkr)";"09271";2.1
"Freyung-Grafenau (Lkr)";"09272";2.1
"Kelheim (Lkr)";"09273";2.3
"Landshut (Lkr)";"09274";2.4
"Passau (Lkr)";"09275";2.1
"Regen (Lkr)";"09276";2
"Rottal-Inn (Lkr)";"09277";2.2
"Straubing-Bogen (Lkr)";"09278";2.3
"Dingolfing-Landau (Lkr)";"09279";2.3
"Amberg (Krfr.St)";"09361";1.8
"Regensburg (Krfr.St)";"09362";1.6
"Weiden i.d.OPf. (Krfr.St)";"09363";1.8
"Amberg-Sulzbach (Lkr)";"09371";2.1
"Cham (Lkr)";"09372";2.1
"Neumarkt i.d.OPf. (Lkr)";"09373";2.3
"Neustadt a.d.Waldnaab (Lkr)";"09374";2
"Regensburg (Lkr)";"09375";2.2
"Schwandorf (Lkr)";"09376";2.1
"Tirschenreuth (Lkr)";"09377";2
"Bamberg (Krfr.St)";"09461";1.8
"Bayreuth (Krfr.St)";"09462";1.7
"Coburg (Krfr.St)";"09463";1.7
"Hof (Krfr.St)";"09464";1.7
"Bamberg (Lkr)";"09471";2.2
"Bayreuth (Lkr)";"09472";2.1
"Coburg (Lkr)";"09473";2.1
"Forchheim (Lkr)";"09474";2.2
"Hof (Lkr)";"09475";1.9
"Kronach (Lkr)";"09476";2
"Kulmbach (Lkr)";"09477";1.9
"Lichtenfels (Lkr)";"09478";2.1
"Wunsiedel i.Fichtelgebirge (Lkr)";"09479";1.8
"Ansbach (Krfr.St)";"09561";1.9
"Erlangen (Krfr.St)";"09562";1.7
"Fürth (Krfr.St)";"09563";2
"Nürnberg (Krfr.St)";"09564";1.9
"Schwabach (Krfr.St)";"09565";2
"Ansbach (Lkr)";"09571";2.2
"Erlangen-Höchstadt (Lkr)";"09572";2.2
"Fürth (Lkr)";"09573";2
"Nürnberger Land (Lkr)";"09574";2
"Neustadt a.d.Aisch-Bad Windsheim (Lkr)";"09575";2.2
"Roth (Lkr)";"09576";2.2
"Weißenburg-Gunzenhausen (Lkr)";"09577";2.1
"Aschaffenburg (Krfr.St)";"09661";1.9
"Schweinfurt (Krfr.St)";"09662";1.9
"Würzburg (Krfr.St)";"09663";1.6
"Aschaffenburg (Lkr)";"09671";2.1
"Bad Kissingen (Lkr)";"09672";2
"Rhön-Grabfeld (Lkr)";"09673";2
"Haßberge (Lkr)";"09674";2.2
"Kitzingen (Lkr)";"09675";2.2
"Miltenberg (Lkr)";"09676";2.1
"Main-Spessart (Lkr)";"09677";2
"Schweinfurt (Lkr)";"09678";2.1
"Würzburg (Lkr)";"09679";2.1
"Augsburg (Krfr.St)";"09761";1.9
"Kaufbeuren (Krfr.St)";"09762";2
"Kempten (Allgäu) (Krfr.St)";"09763";1.9
"Memmingen (Krfr.St)";"09764";2
"Aichach-Friedberg (Lkr)";"09771";2.2
"Augsburg (Lkr)";"09772";2.2
"Dillingen a.d.Donau (Lkr)";"09773";2.3
"Günzburg (Lkr)";"09774";2.2
"Neu-Ulm (Lkr)";"09775";2.1
"Lindau (Bodensee) (Lkr)";"09776";2
"Ostallgäu (Lkr)";"09777";2.1
"Unterallgäu (Lkr)";"09778";2.2
"Donau-Ries (Lkr)";"09779";2.2
"Oberallgäu (Lkr)";"09780";1.9
