Titel;jahr;Vorname;partei;Nachname;id
;2013;Christian;2;Ude;2101
;2013;Natascha;2;Kohnen;2102
;2013;Markus;2;Rinderspacher;2103
;2013;Kathrin;2;Sonnenholzner;2104
 Dr.;2013;Werner;2;Widuckel;2105
;2013;Maria;2;Noichl;2106
;2013;Hans-Ulrich;2;Pfaffmann;2107
;2013;Doris;2;Rauscher;2108
;2013;Martin;2;Guell;2109
;2013;Isabell;2;Zacharias;2110
 Dr.;2013;Albert;2;Thurner;2111
 Dr.;2013;Elif;2;Cindik-Herbrueggen;2112
;2013;Achim;2;Werner;2113
;2013;Diana;2;Stachowitz;2114
;2013;Guenter;2;Zellner;2115
;2013;Ruth;2;Waldmann;2116
;2013;Roman;2;Niederberger;2117
;2013;Guenther;2;Knoblauch;2118
;2013;Florian;2;Ritter;2119
 Dr.;2013;Peter Paul;2;Gantzer;2120
;2013;Tim;2;Weidner;2121
;2013;Horst;2;Winter;2122
;2013;Andreas;2;Lotte;2123
;2013;Peter;2;Warlimont;2124
;2013;Paul;2;Lehmann;2125
;2013;Florian;2;Brunn von;2126
;2013;Dirk;2;Reichenau;2127
 Dr.;2013;Herbert;2;Kraenzlein;2128
;2013;Thomas;2;Mandl;2129
 Dr.;2013;Manfred;2;Bischoff;2130
;2013;Markus;2;Kaeser;2131
;2013;Julia;2;Rothmayer;2132
;2013;Andreas;2;Deutinger;2133
;2013;Ingelore;2;Pilwousek;2134
;2013;Ulf;2;Schroeder;2135
;2013;Gesche;2;Hoffmann-Weiss;2136
;2013;Franz Josef;2;Amann;2137
;2013;Marina;2;Achhammer;2138
;2013;Wolfgang;2;Simeth;2139
;2013;Sinaida;2;Kumpf;2140
;2013;Daniel;2;Kalteis;2141
;2013;Eleonore;2;Ismail;2142
;2013;Dominic;2;Scales;2143
;2013;Gabriele;2;Wallner;2144
;2013;Horst;2;Schmidt;2145
;2013;Horst;1;Seehofer;1101
;2013;Ilse;1;Aigner;1102
 Dr.;2013;Ludwig;1;Spaenle;1103
;2013;Christine;1;Haderthauer;1104
 Dr.;2013;Marcel;1;Huber;1105
;2013;Reinhold;1;Bocklet;1106
;2013;Mechthilde;1;Wittmann;1107
 Dr.;2013;Martin;1;Huber;1108
;2013;Anton;1;Kreitmair;1109
;2013;Georg;1;Eisenreich;1110
;2013;Leslie;1;Mandoki;1111
;2013;Martin;1;Reiter;1112
 Dr.;2013;Thomas;1;Goppel;1113
;2013;Ingrid;1;Heckner;1114
;2013;Thomas;1;Schreder;1115
;2013;Martin;1;Bachhuber;1116
 Dr.;2013;Otmar;1;Bernhard;1117
;2013;Markus;1;Blume;1118
;2013;Robert;1;Brannekaemper;1119
;2013;Alexander;1;Dorow;1120
 Dr.;2013;Ute;1;Eiling-Huetig;1121
;2013;Matthias;1;Enghuber;1122
;2013;Markus;1;Froeschl;1123
 Dr.;2013;Florian;1;Herrmann;1124
;2013;Thomas;1;Huber;1125
;2013;Michaela;1;Kaniber;1126
;2013;Harald;1;Kuehn;1127
;2013;Otto;1;Lederer;1128
;2013;Andreas;1;Lorenz;1129
;2013;Markus;1;Meyer;1130
;2013;Peter;1;Ostenrieder;1131
;2013;Franz;1;Pany;1132
;2013;Rolf;1;Picker;1133
;2013;Ulrike;1;Scharf;1134
;2013;Tanja;1;Schorer-Dremel;1135
;2013;Kerstin;1;Schreyer-Staeblein;1136
;2013;Heino;1;Seeger;1137
;2013;Bernhard;1;Seidenath;1138
;2013;Klaus;1;Steiner;1139
;2013;Klaus;1;Stoettner;1140
;2013;Karl;1;Straub;1141
;2013;Joachim;1;Unterlaender;1142
;2013;Max;1;Weichenrieder;1143
;2013;Ernst;1;Weidenbusch;1144
;2013;Eva;3;Gottstein;3101
 Dr.;2013;Michael;3;Piazolo;3102
;2013;Manfred;3;Pointner;3103
;2013;Florian;3;Streibl;3104
;2013;Ute, genannt Jung Cl;3;Singer;3105
;2013;Markus;3;Reichhart;3106
 Dr.;2013;Lothar;3;Seissiger;3107
;2013;Nikolaus;3;Kraus;3108
;2013;Felix;3;Stahl;3109
;2013;Balthasar;3;Brandhofer;3110
;2013;Peter;3;Aicher;3111
 Dr.;2013;Otto;3;Bertermann;3112
;2013;Gottfried;3;Obermair;3113
;2013;Rainer;3;Mehringer;3114
;2013;Michael;3;Koller;3115
;2013;Matthias;3;Demmel;3116
;2013;Peter;3;Gruen von der;3117
;2013;Ursula;3;Sabathil;3118
;2013;Albert;3;Luppart;3119
;2013;Markus;3;Saller;3120
;2013;Johann;3;Altmann;3121
;2013;Martina;3;Purkhardt;3122
;2013;Manfred;3;Zallinger;3123
 Dr.;2013;Wilfried;3;Seidelmann;3124
;2013;Ingeborg;3;Michelfeit;3125
;2013;Richard;3;Drexl;3126
;2013;Christine;3;Degenhart;3127
;2013;Ruth;3;Busl;3128
;2013;Sascha;3;Freitag;3129
;2013;Helmut;3;Tauscher;3130
;2013;Viktoria;3;Multrus;3131
 Dr.;2013;Franz;3;Ballauf;3132
;2013;Markus;3;Erhorn;3133
;2013;Ursula;3;Angenend;3134
;2013;Eduard;3;Zwingler;3135
;2013;Rasso;3;Rebay von Ehrenwiese;3136
;2013;Karl;3;Maier;3137
;2013;Egon;3;Barlag;3138
;2013;Stephan;3;Bruhn;3139
;2013;Christian;3;Kraemer;3140
;2013;Gisela;3;Hoelscher;3141
;2013;Benno;3;Zierer;3142
;2013;Anton;3;Haunsberger;3143
;2013;Margarete;4;Bause;4101
;2013;Ludwig;4;Hartmann;4102
;2013;Claudia;4;Stamm;4103
 Dr.;2013;Christian;4;Magerl;4104
;2013;Katharina;4;Schulze;4105
 Dr.;2013;Markus;4;Buechler;4106
;2013;Susanna;4;Tausendfreund;4107
 Dr.;2013;Martin;4;Runge;4108
;2013;Helga;4;Stieglmeier;4109
 Dr.;2013;Sepp;4;Duerr;4110
;2013;Martina;4;Neubauer;4111
;2013;Christian;4;Hierneis;4112
;2013;Gisela;4;Sengl;4113
;2013;Peter;4;Rutz;4114
;2013;Heidi;4;Schiller;4115
;2013;Florian;4;Kraus;4116
;2013;Monika;4;Pfriender;4117
 Dr.;2013;Bartl;4;Wimmer;4118
;2013;Waltraud;4;Gruber;4119
