jahr;nr;name;wahlkreisNr
2013;508;Erlangen-Stadt;5
2013;509;Fuerth;5
2013;510;Neustadt a.d.Aisch-B;5
2013;511;Nuernberger Land;5
2013;512;Roth;5
2013;401;Bamberg-Land;4
2013;402;Bamberg-Stadt;4
2013;403;Bayreuth;4
2013;404;Coburg;4
2013;405;Forchheim;4
2013;406;Hof;4
2013;407;Kronach, Lichtenfels;4
2013;408;Wunsiedel-Kulmbach;4
2013;301;Amberg-Sulzbach;3
2013;302;Cham;3
2013;303;Neumarkt i.d.OPf.;3
2013;304;Regens-burg-Land;3
2013;305;Regens-burg-Stadt;3
2013;306;Schwandorf;3
2013;307;Tirschen-reuth;3
2013;308;Weiden i.d.OPf.;3
2013;101;Muenchen-Hadern;1
2013;102;Muenchen-Bogen-hause;1
2013;103;Muenchen-Giesing;1
2013;104;Muenchen-Milberts-ho;1
2013;105;Muenchen-Moosach;1
2013;106;Muenchen-Pasing;1
2013;107;Muenchen-Ramers-dorf;1
2013;108;Muenchen-Schwab-ing;1
2013;109;Alt-oetting;1
2013;110;Bad Toelz-Wolfrats-h;1
2013;111;Berchtes-gadener Lan;1
2013;112;Dachau;1
2013;113;Ebersberg;1
2013;114;Eichstaett;1
2013;115;Erding;1
2013;116;Freising;1
2013;117;Fuersten-feldbruck-O;1
2013;118;Ingolstadt, Neuburg ;1
2013;119;Landsberg am Lech, F;1
2013;120;Miesbach;1
2013;121;Muehldorf a.Inn;1
2013;122;Muenchen-Land-Nord;1
2013;123;Muenchen-Land-Sued;1
2013;124;Neuburg-Schroben-hau;1
2013;125;Pfaffen-hofen a.d.Il;1
2013;126;Rosenheim-Ost;1
2013;127;Rosenheim-West;1
2013;128;Starnberg;1
2013;129;Traunstein;1
2013;130;Weilheim-Schongau;1
2013;501;Nuernberg-Nord;5
2013;502;Nuernberg-Ost;5
2013;503;Nuernberg-Sued;5
2013;504;Nuernberg-West;5
2013;505;Ansbach-Nord;5
2013;506;Ansbach-Sued, Weienb;5
2013;507;Erlangen-Hoechstadt;5
2013;601;Aschaffenburg-Ost;6
2013;602;Aschaffenburg-West;6
2013;603;Bad Kissingen;6
2013;604;Haberge, Rhoen-Grabf;6
2013;605;Kitzingen;6
2013;708;Kaufbeuren;7
2013;709;Kempten, Oberallgaeu;7
2013;710;Lindau, Sonthofen;7
2013;711;Marktober-dorf;7
2013;712;Memmingen;7
2013;713;Neu-Ulm;7
2013;606;Main-Spessart;6
2013;607;Miltenberg;6
2013;608;Schweinfurt;6
2013;609;Wuerzburg-Land;6
2013;610;Wuerzburg-Stadt;6
2013;701;Augsburg-Stadt-Ost;7
2013;702;Augsburg-Stadt-West;7
2013;703;Aichach-Friedberg;7
2013;704;Augsburg-Land, Dilli;7
2013;705;Augsburg-Land-Sued;7
2013;706;Donau-Ries;7
2013;707;Guenzburg;7
2013;201;Deggendorf;2
2013;202;Dingolfing;2
2013;203;Kelheim;2
2013;204;Landshut;2
2013;205;Passau-Ost;2
2013;206;Passau-West;2
2013;207;Regen, Freyung-Grafe;2
2013;208;Rottal-Inn;2
2013;209;Straubing;2
