WahlkreisId;ParteiId;KandidatId;KandidatName;StimmzettelReihenfolge;PlatzNummer;Gesamtstimmen;Zweitstimmen;501;502;503;504;505;506;507;508;509;510;511;512
5;1;1;Söder, Dr. Markus;1;1;283.090;256.321;19.110;26.769;23.280;18.306;25.156;29.185;18.357;15.048;25.329;30.476;27.994;24.080
5;1;2;Herrmann, Joachim;2;2;60.365;39.278;1.462;12.746;1.428;769;2.680;2.626;8.118;21.087;2.443;3.105;2.139;1.762
5;1;3;Herold, Hans;4;3;39.223;1.056;46;116;35;27;393;70;103;46;146;38.167;35;39
5;1;4;Westphal, Manuel;13;4;39.116;877;29;68;19;16;460;38.239;25;21;38;50;25;126
5;1;5;Guttenberger, Petra;3;5;33.483;5.439;380;974;260;215;357;295;295;585;28.044;1.550;237;291
5;1;6;Dünkel, Norbert;11;6;31.413;915;26;635;27;21;18;17;32;21;38;30;30.498;50
5;1;7;Schalk, Andreas;6;7;30.975;3.784;49;135;45;28;27.191;2.879;42;52;75;359;35;85
5;1;8;Freller, Karl;7;8;29.769;4.812;171;734;24.957;233;230;282;71;99;188;141;115;2.548
5;1;9;Bauer, Volker;12;9;28.490;1.477;63;193;422;49;252;172;54;53;76;69;74;27.013
5;1;10;Nussel, Walter;9;10;26.562;1.647;32;66;14;8;108;89;24.915;735;72;431;33;59
5;1;11;Regitz, Barbara;5;11;24.258;4.081;20.177;2.428;303;253;106;86;105;151;313;111;112;113
5;1;12;Kohler, Jochen;14;12;19.989;1.757;125;279;147;18.232;87;106;53;69;628;152;44;67
5;1;13;Brandl, Alfons;18;13;5.443;5.443;14;41;14;11;2.527;2.714;13;10;18;47;16;18
5;1;14;Ixmeier, Renate;22;14;4.599;4.599;32;103;32;23;212;171;140;36;54;3.644;70;82
5;1;15;Trinkl, Cornelia;8;15;3.946;3.946;110;782;73;51;82;54;63;70;125;65;2.411;60
5;1;16;Höfler, Peter;20;16;3.880;3.880;779;874;168;129;308;293;170;146;274;296;215;228
5;1;17;Dietzel, Ursula;10;17;3.527;3.527;81;206;87;43;98;190;69;75;104;61;50;2.463
5;1;18;Gebhardt, Bastian;17;18;3.035;3.035;118;460;136;144;177;113;78;79;966;510;103;151
5;1;19;Volleth, Jörg;21;19;2.775;2.775;52;153;38;35;40;43;349;1.793;91;85;59;37
5;1;20;Hommel, Alexander;24;20;1.639;1.639;17;1.068;28;16;24;25;28;10;19;14;337;53
5;1;21;Mathes, Gerlinde;15;21;1.171;1.171;120;614;108;56;35;32;22;21;44;39;45;35
5;1;22;Lay, Gabriele;16;22;1.035;1.035;98;345;87;126;47;43;49;29;77;41;46;47
5;1;23;Quester, Lutz;23;23;853;853;66;262;164;56;27;30;36;28;56;66;28;34
5;1;24;Beugel-Hilz, Alexandra;19;24;406;406;9;32;11;10;21;13;102;158;22;10;8;10
5;2;1;Arnold, Horst;1;1;39.546;25.969;2.300;1.805;1.974;1.832;2.385;2.603;2.364;1.488;13.577;4.957;2.354;1.907
5;2;2;Hiersemann, Alexandra;2;2;22.342;13.015;754;571;505;482;541;583;9.327;4.139;3.436;673;774;557
5;2;3;Schuster, Stefan;5;3;20.962;11.816;2.145;1.425;3.032;9.146;449;543;524;309;1.217;584;769;819
5;2;4;Tasdelen, Arif;3;4;20.811;9.662;11.149;2.390;1.395;1.922;261;246;454;283;1.066;299;842;504
5;2;5;Scheuenstuhl, Harry;7;5;17.626;6.315;387;329;223;339;1.104;316;319;185;2.605;11.311;288;220
5;2;6;Lipka, Andrea;4;6;15.488;3.996;491;906;352;310;167;190;420;176;395;233;11.492;356
5;2;7;Gardill, Kerstin;6;7;13.280;4.070;714;9.210;258;321;72;83;117;114;176;76;2.004;135
5;2;8;Arabackyj, Claudia;8;8;12.577;3.115;910;478;9.462;847;55;45;46;49;180;54;101;350
5;2;9;Schneider, Marcel;11;9;11.139;2.650;131;435;1.021;173;70;148;58;55;143;113;303;8.489
5;2;10;Dees, Dr. Philipp;10;10;10.199;2.365;159;144;93;117;51;61;1.326;7.834;148;110;91;65
5;2;11;Dösel, Harald;9;11;8.968;1.074;48;47;47;49;291;7.894;27;33;63;35;35;399
5;2;12;Ringler, Norbert;12;12;6.893;700;23;13;17;28;6.193;453;10;14;21;76;20;25
5;2;13;Biersack, Manuela;21;13;2.206;2.206;42;23;43;59;32;36;31;20;1.684;155;44;37
5;2;14;Hurle, Dr. Katrin;15;14;1.898;1.898;95;78;50;52;49;53;393;858;102;66;57;45
5;2;15;Bentz, Monika;17;15;1.700;1.700;194;133;108;122;94;100;298;169;160;110;121;91
5;2;16;Ott, Lukas;22;16;1.564;1.564;57;63;32;53;38;44;43;41;58;45;1.039;51
5;2;17;Schermeyer, Andreas;20;17;1.423;1.423;54;52;40;59;28;285;40;38;48;51;36;692
5;2;18;Borgendale, Martina;19;18;1.247;1.247;213;160;148;237;47;49;54;54;87;47;69;82
5;2;19;Gmöhling, Felix;18;19;1.055;1.055;22;20;6;18;431;488;6;5;19;21;5;14
5;2;20;Liberov, Vitali;16;20;987;987;177;141;115;189;35;27;37;46;89;38;43;50
5;2;21;Spiegel-Schmidt, Svenja;23;21;758;758;115;90;76;170;38;42;32;22;48;43;37;45
5;2;22;Zinnecker, Jonas;14;22;749;749;9;12;15;19;406;36;12;19;17;178;15;11
5;2;23;Fleischmann, Stefan;24;23;745;745;11;14;6;15;23;38;35;7;16;550;12;18
5;2;24;Vlachou, Dionisia;13;24;548;548;106;66;69;107;16;19;14;16;43;30;33;29
5;3;1;Bauer, Dr. Peter;1;1;31.542;20.151;826;894;878;503;11.391;5.713;1.438;995;1.309;3.645;2.217;1.733
5;3;2;Schmidt, Gabi;2;2;17.646;5.913;171;182;150;91;2.090;280;1.881;240;338;11.733;306;184
5;3;3;Hauber, Wolfgang;3;3;16.139;4.241;253;299;286;173;752;11.898;212;187;332;427;519;801
5;3;4;Schneider, Thomas;4;4;14.323;3.337;104;105;132;63;165;1.520;520;148;87;184;309;10.986
5;3;5;Enz, Christian;6;5;10.002;1.515;27;25;15;14;439;54;8.487;113;29;723;43;33
5;3;6;Feisthammel, Angelika;5;6;9.483;1.199;81;319;79;57;89;102;63;52;78;146;8.284;133
5;3;7;Moll, Dr. Gunther;7;7;7.213;2.987;217;200;102;104;230;167;1.031;4.226;249;260;286;141
5;3;8;Beck, Stephan;9;8;6.775;989;94;56;69;116;107;99;56;40;5.786;197;76;79
5;3;9;Meier, Marco;11;9;5.949;2.699;70;75;3.250;61;1.649;378;42;34;68;155;79;88
5;3;10;Kuhnert, Marion;12;10;5.818;2.669;161;3.149;172;89;207;236;158;114;178;299;779;276
5;3;11;Dörfler, Jürgen;8;11;5.538;2.321;3.217;529;478;413;64;99;65;55;165;85;235;133
