WahlkreisId;ParteiId;KandidatId;KandidatName;KandidatVorname;StimmzettelReihenfolge;PlatzNummer;Gesamtstimmen;Zweitstimmen;201;202;203;204;205;206;207;208;209
2;1;1;Sibler;Bernd;1;1;107952;78195;29757;11515;7612;11696;9340;7335;12736;9839;8122
2;1;2;Zellmeier;Josef;18;2;38381;2583;250;477;523;1023;71;60;104;75;35798
2;1;3;Waschler;Dr. Gerhard;17;3;38295;8738;406;104;80;180;29557;5684;1803;398;83
2;1;4;Loibl;Dr. Petra;13;4;36050;5147;1426;30903;691;779;405;330;358;762;396
2;1;5;Taubeneder;Walter;15;5;31003;5238;150;36;31;44;4344;25765;91;528;14
2;1;6;Högl;Petra;4;6;30839;8990;975;1577;21849;3606;637;547;539;608;501
2;1;7;Radlmeier;Helmut;14;7;30819;5891;97;3923;1477;24928;61;25;32;154;122
2;1;8;Gibis;Max;12;8;30669;4191;453;45;36;62;3405;103;26478;46;41
2;1;9;Wagle;Martin;16;9;28524;501;33;78;16;74;37;214;27;28023;22
2;1;10;Ritt;Hans;3;10;26670;26670;1049;1048;671;764;256;199;305;358;22020
2;1;11;Haderer;Monika;7;11;17953;17953;616;1583;1130;755;507;594;316;12110;342
2;1;12;Meyer;Stefan;5;12;17004;17004;1606;261;256;356;4916;8567;329;560;153
2;1;13;Antretter;Oliver;10;13;15018;15018;11744;455;356;625;408;210;528;287;405
2;1;14;Haase;Harald;2;14;13985;13985;3360;228;235;390;474;176;8621;207;294
2;1;15;Pütz;Dr. Ralph;6;15;8724;8724;305;1022;541;5627;212;179;99;305;434
2;1;16;Taitsch;Benjamin;8;16;6707;6707;107;5869;67;187;27;61;19;312;58
2;1;17;Diermeier;Andreas;9;17;5926;5926;54;57;5545;109;38;17;21;22;63
2;1;18;Binder;Johannes;11;18;4934;4934;199;228;231;220;3135;143;506;131;141
2;2;1;Müller;Ruth;1;1;15733;9357;1015;1679;1574;6376;1255;640;969;905;1320
2;2;2;Flisek;Christian;4;2;12701;4610;423;63;61;113;8091;2796;737;240;177
2;2;3;Vilsmeier;Dr. Bernd;2;3;8133;5040;3093;2024;153;1654;314;131;206;287;271
2;2;4;Mayerhofer;Sabine;5;4;6626;2018;123;88;72;197;1222;4608;110;107;99
2;2;5;Blöhm;Bettina;3;5;5988;1976;334;90;86;331;718;213;4012;80;124
2;2;6;Unfried;Harald;7;6;5859;2370;35;317;3489;1835;42;14;28;36;63
2;2;7;Huber;Florian;8;7;5180;237;29;4943;36;56;15;16;12;24;49
2;2;8;Sommerfeld;Dr. Olaf;6;8;4776;874;234;114;77;92;121;41;138;57;3902
2;2;9;Kuby;Valentin;9;9;3654;506;56;98;43;81;78;45;34;3148;71
2;2;10;Süß;Josef;15;10;2455;2455;88;94;62;117;1133;91;690;71;109
2;2;11;Schweiger;Stephan;12;11;2256;2256;26;14;1987;67;32;28;20;22;60
2;2;12;Hutter;Hans;16;12;1810;1810;79;13;7;19;18;8;1585;13;68
