WahlkreisId;ParteiId;KandidatId;KandidatName;KandidatVorname;StimmzettelReihenfolge;PlatzNummer;Gesamtstimmen;Zweitstimmen;701;702;703;704;705;706;707;708;709;710;711;712;713
7;1;1;Kreuzer;Thomas;1;1;113418;87620;3875;3792;5329;6199;7332;5321;2645;7.693;25.798;16.674;12.907;8.856;6.997
7;1;2;Trautner;Carolina;2;2;51431;17528;1883;5235;1395;2614;33903;756;385;321;3.199;426;357;291;666
7;1;3;Pschierer;Franz Josef;4;3;44414;19250;315;362;410;542;1491;479;883;25.164;1.980;737;4.165;7.070;816
7;1;4;Hintersberger;Johannes;6;4;42665;18470;7609;24195;2311;1464;5444;502;184;135;170;161;122;107;261
7;1;5;Schorer;Angelika;5;5;39104;8690;231;198;220;235;944;180;169;4.426;876;422;30.414;497;292
7;1;6;Merk;Dr. Beate;7;6;38943;13937;539;788;799;1997;1387;1380;1963;696;982;628;605;2.173;25.006
7;1;7;Fackler;Wolfgang;21;7;36265;2633;93;110;129;1826;75;33632;35;130;66;28;26;40;75
7;1;8;Winter;Georg;26;8;33847;2396;68;116;75;31451;115;1661;128;50;28;22;18;29;86
7;1;9;Beißwenger;Eric;20;9;33543;3882;40;43;58;58;82;67;54;147;2.536;29.661;422;207;168
7;1;10;Holetschek;Klaus;22;10;33207;5956;33;34;37;25;75;34;77;4.372;417;143;229;27.251;480
7;1;11;Tomaschko;Peter;25;11;32646;751;161;114;31895;93;254;35;22;16;14;6;9;15;12
7;1;12;Reichhart;Dr. Hans;3;12;32535;32535;583;750;573;4850;2911;621;18175;625;886;389;315;520;1.337
7;1;13;Sauter;Alfred;24;13;28891;3976;152;248;264;791;405;213;24915;223;150;82;83;208;1.157
7;1;14;Jäckel;Andreas;23;14;25671;3695;21976;1481;393;307;989;139;65;61;44;49;34;38;95
7;1;15;Ost;Franz;13;15;22450;22450;86;119;307;1859;253;18592;179;181;83;148;140;175;328
7;1;16;Losinger;Manfred;11;16;21991;21991;714;612;15948;625;1030;417;249;336;280;459;449;426;446
7;1;17;Rauch;Hans-Peter;9;17;17909;17909;167;243;308;311;361;273;182;407;11.911;1.813;884;621;428
7;1;18;Kränzle;Bernd;12;18;13828;13828;2985;4916;970;952;2743;365;106;91;110;79;58;91;362
7;1;19;Deil;Johann;14;19;10164;10164;82;73;76;89;113;71;272;65;63;49;42;419;8.750
7;1;20;Weldishofer;Christian;15;20;9696;9696;471;679;554;1510;3727;336;421;361;297;280;269;241;550
7;1;21;Windhaber;Hannelore;8;21;9020;9020;92;95;110;86;211;100;54;176;427;7.070;241;130;228
7;1;22;Dietz;Leopold Roland;16;22;6749;6749;1545;2210;661;340;1316;147;62;77;78;66;79;29;139
7;1;23;Jahn;Dr. Thomas;19;23;6320;6320;130;134;123;84;173;78;70;3.444;366;161;1.255;123;179
7;1;24;Kaufmann;Andreas;17;24;5860;5860;81;77;101;100;143;90;188;209;241;134;4.235;115;146
7;1;25;Leipold;Martina;10;25;4569;4569;78;85;168;90;162;122;76;184;232;96;100;2.901;275
7;1;26;Schneider;Oliver;18;26;1939;1939;21;59;98;1049;63;120;24;130;34;15;262;23;41
7;2;1;Güller;Harald;1;1;24049;16353;2977;7696;1746;1519;2285;1408;891;722;807;1.136;603;877;1.382
7;2;2;Strohmayr;Dr. Simone;2;2;17793;12008;1483;3107;5785;994;2983;651;419;333;386;483;299;301;569
7;2;3;Wengert;Dr. Paul;3;3;13010;7255;1582;1557;715;193;523;183;144;562;896;426;5.755;273;201
7;2;4;Heinrich;Margarete;6;4;11140;3650;7490;1477;539;204;521;237;84;81;95;107;59;75;171
