jahr;stimmen;stimmkreis;kandidat;partei
2018;26769;502;1850101;1301
2018;21087;508;1850102;1301
2018;38167;510;1850103;1301
2018;38239;506;1850104;1301
2018;28044;509;1850105;1301
2018;30498;511;1850106;1301
2018;27191;505;1850107;1301
2018;24957;503;1850108;1301
2018;27013;512;1850109;1301
2018;24915;507;1850110;1301
2018;20177;501;1850111;1301
2018;18232;504;1850112;1301
2018;13577;509;1850201;1302
2018;9327;507;1850202;1302
2018;9146;504;1850203;1302
2018;11149;501;1850204;1302
2018;11311;510;1850205;1302
2018;11492;511;1850206;1302
2018;9210;502;1850207;1302
2018;9462;503;1850208;1302
2018;8489;512;1850209;1302
2018;7834;508;1850210;1302
2018;7894;506;1850211;1302
2018;6193;505;1850212;1302
2018;11391;505;1850301;1303
2018;11733;510;1850302;1303
2018;11898;506;1850303;1303
2018;10986;512;1850304;1303
2018;8487;507;1850305;1303
2018;8284;511;1850306;1303
2018;4226;508;1850307;1303
2018;5786;509;1850308;1303
2018;3250;503;1850309;1303
2018;3149;502;1850310;1303
2018;3217;501;1850311;1303
2018;2315;504;1850312;1303
2018;9187;504;1850401;1304
2018;16252;505;1850402;1304
2018;18798;501;1850403;1304
2018;18066;509;1850404;1304
2018;12362;503;1850405;1304
2018;16990;508;1850406;1304
2018;15366;502;1850407;1304
2018;13371;507;1850408;1304
2018;13119;511;1850409;1304
2018;12133;510;1850410;1304
2018;12036;506;1850411;1304
2018;10519;512;1850412;1304
2018;3767;508;1850501;1305
2018;4504;501;1850502;1305
2018;3058;505;1850503;1305
2018;2469;504;1850504;1305
2018;4307;509;1850505;1305
2018;3301;502;1850506;1305
2018;2985;507;1850507;1305
2018;3002;511;1850508;1305
2018;2884;510;1850509;1305
2018;2625;503;1850510;1305
2018;2671;512;1850511;1305
2018;2439;506;1850512;1305
2018;5704;509;1850601;1306
2018;4155;504;1850602;1306
2018;5215;501;1850603;1306
2018;4150;502;1850604;1306
2018;2353;507;1850605;1306
2018;2913;503;1850606;1306
2018;3349;505;1850607;1306
2018;3503;508;1850608;1306
2018;3051;511;1850609;1306
2018;2685;506;1850610;1306
2018;2913;510;1850611;1306
2018;1999;512;1850613;1306
2018;613;510;1850701;1307
2018;512;505;1850702;1307
2018;754;512;1850703;1307
2018;637;506;1850704;1307
2018;506;507;1850705;1307
2018;350;503;1850706;1307
2018;277;504;1850707;1307
2018;446;511;1850708;1307
2018;393;509;1850709;1307
2018;212;501;1850710;1307
2018;227;508;1850711;1307
2018;1285;510;1850801;1308
2018;1610;508;1850802;1308
2018;1451;505;1850803;1308
2018;841;512;1850804;1308
2018;1408;506;1850805;1308
2018;885;503;1850806;1308
2018;908;507;1850807;1308
2018;545;504;1850808;1308
2018;848;501;1850809;1308
2018;844;502;1850810;1308
2018;675;509;1850812;1308
2018;753;511;1850813;1308
2018;796;502;1850901;1309
2018;842;504;1850902;1309
2018;1071;509;1850903;1309
2018;819;508;1850904;1309
2018;859;506;1850905;1309
2018;689;510;1850906;1309
2018;902;511;1850907;1309
2018;626;505;1850908;1309
2018;615;503;1850909;1309
