jahr;stimmen;stimmkreis;kandidat;partei
2018;19110;501;1850101;1301
2018;23280;503;1850101;1301
2018;18306;504;1850101;1301
2018;25156;505;1850101;1301
2018;29185;506;1850101;1301
2018;18357;507;1850101;1301
2018;15048;508;1850101;1301
2018;25329;509;1850101;1301
2018;30476;510;1850101;1301
2018;27994;511;1850101;1301
2018;24080;512;1850101;1301
2018;1462;501;1850102;1301
2018;12746;502;1850102;1301
2018;1428;503;1850102;1301
2018;769;504;1850102;1301
2018;2680;505;1850102;1301
2018;2626;506;1850102;1301
2018;8118;507;1850102;1301
2018;2443;509;1850102;1301
2018;3105;510;1850102;1301
2018;2139;511;1850102;1301
2018;1762;512;1850102;1301
2018;46;501;1850103;1301
2018;116;502;1850103;1301
2018;35;503;1850103;1301
2018;27;504;1850103;1301
2018;393;505;1850103;1301
2018;70;506;1850103;1301
2018;103;507;1850103;1301
2018;46;508;1850103;1301
2018;146;509;1850103;1301
2018;35;511;1850103;1301
2018;39;512;1850103;1301
2018;29;501;1850104;1301
2018;68;502;1850104;1301
2018;19;503;1850104;1301
2018;16;504;1850104;1301
2018;460;505;1850104;1301
2018;25;507;1850104;1301
2018;21;508;1850104;1301
2018;38;509;1850104;1301
2018;50;510;1850104;1301
2018;25;511;1850104;1301
2018;126;512;1850104;1301
2018;380;501;1850105;1301
2018;974;502;1850105;1301
2018;260;503;1850105;1301
2018;215;504;1850105;1301
2018;357;505;1850105;1301
2018;295;506;1850105;1301
2018;295;507;1850105;1301
2018;585;508;1850105;1301
2018;1550;510;1850105;1301
2018;237;511;1850105;1301
2018;291;512;1850105;1301
2018;26;501;1850106;1301
2018;635;502;1850106;1301
2018;27;503;1850106;1301
2018;21;504;1850106;1301
2018;18;505;1850106;1301
2018;17;506;1850106;1301
2018;32;507;1850106;1301
2018;21;508;1850106;1301
2018;38;509;1850106;1301
2018;30;510;1850106;1301
2018;50;512;1850106;1301
2018;49;501;1850107;1301
2018;135;502;1850107;1301
2018;45;503;1850107;1301
2018;28;504;1850107;1301
2018;2879;506;1850107;1301
2018;42;507;1850107;1301
2018;52;508;1850107;1301
2018;75;509;1850107;1301
2018;359;510;1850107;1301
2018;35;511;1850107;1301
2018;85;512;1850107;1301
2018;171;501;1850108;1301
2018;734;502;1850108;1301
2018;233;504;1850108;1301
2018;230;505;1850108;1301
2018;282;506;1850108;1301
2018;71;507;1850108;1301
2018;99;508;1850108;1301
2018;188;509;1850108;1301
2018;141;510;1850108;1301
2018;115;511;1850108;1301
2018;2548;512;1850108;1301
2018;63;501;1850109;1301
2018;193;502;1850109;1301
2018;422;503;1850109;1301
2018;49;504;1850109;1301
2018;252;505;1850109;1301
2018;172;506;1850109;1301
2018;54;507;1850109;1301
2018;53;508;1850109;1301
2018;76;509;1850109;1301
2018;69;510;1850109;1301
2018;74;511;1850109;1301
2018;32;501;1850110;1301
2018;66;502;1850110;1301
2018;14;503;1850110;1301
2018;8;504;1850110;1301
2018;108;505;1850110;1301
2018;89;506;1850110;1301
2018;735;508;1850110;1301
2018;72;509;1850110;1301
2018;431;510;1850110;1301
2018;33;511;1850110;1301
2018;59;512;1850110;1301
2018;2428;502;1850111;1301
2018;303;503;1850111;1301
2018;253;504;1850111;1301
2018;106;505;1850111;1301
2018;86;506;1850111;1301
2018;105;507;1850111;1301
2018;151;508;1850111;1301
2018;313;509;1850111;1301
2018;111;510;1850111;1301
2018;112;511;1850111;1301
2018;113;512;1850111;1301
2018;125;501;1850112;1301
2018;279;502;1850112;1301
2018;147;503;1850112;1301
2018;87;505;1850112;1301
2018;106;506;1850112;1301
2018;53;507;1850112;1301
2018;69;508;1850112;1301
2018;628;509;1850112;1301
2018;152;510;1850112;1301
2018;44;511;1850112;1301
2018;67;512;1850112;1301
2018;14;501;1850113;1301
2018;41;502;1850113;1301
2018;14;503;1850113;1301
2018;11;504;1850113;1301
2018;2527;505;1850113;1301
2018;2714;506;1850113;1301
2018;13;507;1850113;1301
