SK;LKPLZ;JAHR
101;09162;2018
102;09162;2018
103;09162;2018
104;09162;2018
105;09162;2018
106;09162;2018
107;09162;2018
108;09162;2018
109;09162;2018
110;09171;2018
111;09173;2018
112;09172;2018
113;09174;2018
114;09175;2018
115;09176;2018
116;09177;2018
117;09178;2018
118;09179;2018
119;09161;2018
120;09181;2018
121;09182;2018
122;09183;2018
123;09162;2018
124;09162;2018
125;09185;2018
126;09186;2018
127;09187;2018
128;09187;2018
129;09188;2018
130;09189;2018
131;09190;2018
201;09271;2018
202;09279;2018
203;09273;2018
204;09274;2018
205;09275;2018
206;09275;2018
207;09276;2018
208;09277;2018
209;09278;2018
301;09361;2018
302;09372;2018
303;09373;2018
304;09375;2018
305;09375;2018
306;09376;2018
307;09377;2018
308;09363;2018
401;09461;2018
402;09461;2018
403;09462;2018
404;09463;2018
405;09474;2018
406;09475;2018
407;09476;2018
408;09479;2018
501;09564;2018
502;09564;2018
503;09564;2018
504;09564;2018
505;09561;2018
506;09561;2018
507;09562;2018
508;09562;2018
509;09563;2018
510;09575;2018
511;09574;2018
512;09576;2018
601;09671;2018
602;09671;2018
603;09672;2018
604;09674;2018
605;09675;2018
606;09677;2018
607;09676;2018
608;09678;2018
609;09679;2018
610;09679;2018
701;09761;2018
702;09761;2018
703;09771;2018
704;09772;2018
705;09772;2018
706;09779;2018
707;09774;2018
708;09762;2018
709;09763;2018
710;09776;2018
711;09777;2018
712;09764;2018
713;09775;2018
