WahlkreisId;ParteiId;KandidatId;KandidatName;StimmzettelReihenfolge;PlatzNummer;Gesamtstimmen;Zweitstimmen;301;302;303;304;305;306;307;308
3;1;1;Füracker, Albert;1;1;132.637;94.099;12.111;12.282;38.538;17.212;12.542;16.633;12.666;10.653
3;1;2;Stierstorfer, Sylvia;16;2;41.484;4.837;112;324;264;36.647;3.567;381;96;93
3;1;3;Rieger, Dr. Franz;14;3;33.407;7.793;309;570;1.058;4.736;25.614;632;268;220
3;1;4;Flierl, Alexander;10;4;33.394;2.773;287;808;311;147;279;30.621;192;749
3;1;5;Schwartz, Dr. Harald;15;5;32.384;1.505;30.879;75;242;131;226;588;96;147
3;1;6;Hopp, Dr. Gerhard;11;6;32.319;881;61;31.438;110;156;209;267;29;49
3;1;7;Reiß, Tobias;13;7;30.149;1.531;142;70;104;153;167;110;28.618;785
3;1;8;Oetzinger, Dr. Stephan;12;8;26.686;2.596;313;62;124;80;125;212;1.680;24.090
3;1;9;Blümel, Rita;2;9;25.256;25.256;1.470;1.825;6.411;8.913;2.347;1.879;1.370;1.041
3;1;10;Bärthlein, Thomas;3;10;22.979;22.979;15.116;238;1.537;234;272;1.332;1.668;2.582
3;1;11;Huber, Helga;7;11;21.626;21.626;89;63;21.002;120;115;77;56;104
3;1;12;Haimerl, Barbara;4;12;12.968;12.968;206;9.898;335;989;505;771;128;136
3;1;13;Lehner, Michael;5;13;11.619;11.619;199;470;922;2.836;6.280;476;254;182
3;1;14;Wendl, Manfred;9;14;10.981;10.981;525;797;430;444;302;7.968;258;257
3;1;15;Nachtigall, Dagmar;8;15;10.378;10.378;231;217;253;130;128;396;2.155;6.868
3;1;16;Renner, Tanja;6;16;9.688;9.688;609;231;372;521;592;289;6.447;627
3;2;1;Karl, Annette;1;1;28.859;19.865;3.205;1.035;1.535;1.392;3.329;2.920;6.449;8.994
3;2;2;Wild, Margit;3;2;16.184;6.381;572;315;423;3.248;9.803;976;148;699
3;2;3;Bergmann, Uwe;2;3;15.381;4.297;11.084;134;245;247;494;552;168;2.457
3;2;4;Wein, Peter;4;4;11.069;1.716;387;169;148;364;451;9.353;58;139
3;2;5;Deiml, Jutta;5;5;8.255;2.222;367;99;342;138;330;373;6.033;573
3;2;6;Jobst, Matthias;6;6;7.980;1.659;81;53;87;6.321;1.169;158;35;76
3;2;7;Rüger, Dr. Armin;10;7;5.898;5.898;5.090;49;158;78;237;141;46;99
3;2;8;Madeisky, Andre;8;8;5.132;515;146;30;4.617;40;132;61;46;60
3;2;9;Kopp, Franz;7;9;4.356;536;59;3.820;24;50;80;253;27;43
3;2;10;Tasali-Stoll, Dr. Sema;15;10;3.423;3.423;68;34;72;67;192;88;234;2.668
3;2;11;Thanheiser, Evi;11;11;3.109;3.109;163;45;49;55;140;2.431;25;201
3;2;12;Wagner, Dr. Carolin;9;12;2.170;2.170;74;30;49;329;1.442;159;23;64
3;2;13;Meier, Sebastian;16;13;1.889;1.889;28;1.647;18;27;54;57;12;46
3;2;14;Lutz, Petra;13;14;1.347;1.347;36;19;315;729;113;55;41;39
3;2;15;Eisinger, Philipp;14;15;1.285;1.285;13;2;1.185;7;16;14;9;39
3;2;16;Bittner, Raphael;12;16;1.030;1.030;51;13;38;34;87;51;403;353
3;3;1;Hanisch, Joachim;1;1;34.915;21.718;3.082;3.509;3.025;4.720;3.200;13.197;2.282;1.900
3;3;2;Gotthardt, Tobias;2;2;23.330;5.873;417;139;502;17.457;1.080;3.607;55;73
3;3;3;Radler, Kerstin;4;3;17.379;7.537;536;532;771;4.351;9.842;772;319;256
3;3;4;Riedl, Robert;3;4;15.563;3.359;385;12.204;406;848;644;527;316;233
3;3;5;Sitter, Alexandra;7;5;12.419;1.398;11.021;101;246;216;315;274;122;124
3;3;6;Weidacher, Dr. (Univ. Florenz) Herbert;14;6;10.442;10.442;78;9.350;112;164;187;387;60;104
3;3;7;Penkala, Matthias;6;7;10.152;376;74;24;9.776;86;82;49;29;32
3;3;8;Schmidt, Bernhard;5;8;9.993;1.166;131;48;78;102;110;134;8.827;563
3;3;9;Meier, Karl;8;9;9.453;3.180;250;62;105;93;129;244;2.297;6.273
3;3;10;Strobl, Julia;11;10;7.468;7.468;996;216;5.100;425;276;190;151;114
3;3;11;Jäger, Alfred;16;11;5.192;5.192;335;149;181;236;104;3.998;90;99
3;3;12;Hetznegger, Manfred;13;12;4.080;4.080;67;88;109;1.375;2.260;133;29;19
3;3;13;Landsmann, Hans-Peter;15;13;3.275;3.275;32;67;39;2.707;358;45;13;14
3;3;14;Groß, Tobias;9;14;3.271;3.271;104;60;98;175;126;122;209;2.377
3;3;15;Riedl, Thomas;12;15;2.828;2.828;183;195;57;72;58;50;1.951;262
3;3;16;Lehnerer, Doris;10;16;2.517;2.517;2.097;34;62;96;78;59;43;48
3;4;1;Mistol, Jürgen;1;1;50.451;27.957;4.052;2.533;4.625;8.171;22.494;3.579;2.133;2.864
3;4;2;Toman, Anna;2;2;16.193;11.206;550;236;503;574;8.211;392;4.987;740
