WahlkreisId;ParteiId;KandidatId;KandidatName;StimmzettelReihenfolge;PlatzNummer;Gesamtstimmen;Zweitstimmen;601;602;603;604;605;606;607;608;609;610
6;1;1;Stamm, Barbara;1;1;194.803;194.803;7.536;9.387;24.195;24.322;18.117;25.099;11.117;26.340;30.301;18.389
6;1;2;Bausback, Prof.Dr. Winfried;3;2;50.521;27.440;13.747;23.081;527;439;431;1.433;7.809;1.171;868;1.015
6;1;3;Eck, Gerhard;2;3;44.827;14.615;116;189;1.378;5.780;4.323;838;320;30.212;1.034;637
6;1;4;Vogel, Steffen;12;4;41.034;1.614;33;54;510;39.420;77;41;38;691;83;87
6;1;5;Kirchner, Sandro;8;5;37.466;2.474;66;117;34.992;1.193;92;183;60;421;154;188
6;1;6;Ländner, Manfred;9;6;37.104;2.059;15;34;63;73;261;175;26;285;35.045;1.127
6;1;7;Gerlach, Judith;6;7;34.763;8.997;25.766;6.693;101;116;103;372;1.141;153;157;161
6;1;8;Schwab, Thorsten;11;8;29.184;823;103;82;54;29;27;28.361;92;48;304;84
6;1;9;Jörg, Oliver;7;9;27.950;6.440;93;183;271;254;438;620;190;610;3.781;21.510
6;1;10;Becker, Barbara;5;10;27.104;2.650;178;232;238;258;24.454;222;200;590;407;325
6;1;11;Rüth, Berthold;10;11;26.979;1.147;459;388;50;59;14;64;25.832;40;42;31
6;1;12;Demar, Juliane;4;12;12.900;12.900;61;71;2.580;8.889;119;113;70;619;192;186
6;1;13;Rath, Johanna;18;13;6.509;6.509;1.014;4.426;64;63;35;86;603;70;64;84
6;1;14;Hörtler, Steffen;15;14;5.149;5.149;13;23;4.506;267;10;38;18;225;31;18
6;1;15;Brumme, Tibor;13;15;4.951;4.951;120;159;245;203;2.851;197;143;310;447;276
6;1;16;Hennig, Timo;14;16;4.931;4.931;206;267;210;169;141;2.715;277;315;392;239
6;1;17;Passow, Karin;17;17;4.525;4.525;60;83;28;43;21;38;4.133;30;52;37
6;1;18;Noll, Stephan;16;18;3.161;3.161;2.579;325;18;11;13;29;97;24;27;38
6;1;19;Zachmann, Lothar;19;19;2.853;2.853;26;39;78;186;1.282;37;23;1.070;52;60
6;2;1;Halbleib, Volkmar;1;1;26.364;15.339;518;1.048;1.194;1.377;2.611;1.413;635;2.267;11.025;4.276
6;2;2;Fehlner, Martina;2;2;23.377;14.278;6.396;9.099;256;280;178;890;3.997;435;1.423;423
6;2;3;Rosenthal, Georg;3;3;19.586;10.918;90;395;471;372;744;1.731;140;1.187;5.788;8.668
6;2;4;Petersen, Kathi;4;4;12.758;4.362;56;144;1.181;1.718;509;186;48;8.396;276;244
6;2;5;Gottschalk, Sven;6;5;10.232;958;85;161;81;101;49;9.274;117;102;128;134
6;2;6;Eckert van, René;5;6;8.067;1.744;48;100;746;6.323;71;97;46;389;93;154
6;2;7;Fotokehagias, Michail;10;7;7.781;1.768;6.013;977;9;15;15;36;634;28;21;33
6;2;8;Pischinger, Jörg;9;8;7.680;919;58;438;32;35;56;126;6.761;63;44;67
6;2;9;Kößler, Dr. Jürgen;7;9;6.362;1.261;56;153;96;120;5.101;112;55;223;194;252
6;2;10;Schaub, Norbert;8;10;6.238;655;11;25;5.583;76;17;275;16;170;28;37
6;2;11;Röhm, Sonja;11;11;3.469;3.469;375;2.304;76;45;50;112;188;105;73;141
6;2;12;Albert, Lara;13;12;2.187;2.187;74;165;721;466;69;122;82;183;125;180
6;2;13;Bolkart-Mühlrath, Martha;15;13;2.130;2.130;26;53;61;29;51;1.689;13;39;75;94
6;2;14;Braum, Martina;19;14;2.098;2.098;25;88;107;100;151;84;59;1.288;101;95
6;2;15;Bamberg-Reinwand, Johanna;17;15;2.044;2.044;34;43;40;1.523;41;42;24;152;61;84
6;2;16;Grötsch, Eberhard;14;16;1.951;1.951;24;42;57;84;132;162;35;167;321;927
6;2;17;Meyerer, Thorsten;12;17;1.586;1.586;38;120;33;28;43;55;1.135;40;30;64
6;2;18;Schmid, Harald;18;18;1.022;1.022;24;33;53;44;45;142;25;91;427;138
6;2;19;Laemmerhold, Lutz;16;19;621;621;34;505;5;8;4;9;27;15;7;7
6;3;1;Pittner, Gerald;1;1;23.511;14.482;893;723;3.721;9.029;1.515;1.675;827;2.069;1.733;1.326
6;3;2;Stolz, Anna;5;2;15.127;4.769;321;194;489;518;414;10.358;251;1.162;874;546
6;3;3;Schneider, Dr. Ulrike;4;3;11.422;3.931;131;93;541;1.468;646;438;96;7.491;260;258
6;3;4;Stierhof, Frank;8;4;11.087;1.174;72;41;84;152;9.913;160;64;138;305;158
6;3;5;Dülk, Manfred;2;5;9.887;6.069;43;40;82;1.505;468;315;47;305;3.264;3.818
6;3;6;Fahn, Dr. Hans Jürgen;6;6;9.788;6.477;883;3.311;57;176;113;539;4.192;126;197;194
6;3;7;Rützel, Thomas;9;7;9.733;1.494;43;36;21;34;75;911;104;33;8.239;237
6;3;8;Schötterl, Bernd;3;8;9.639;519;111;102;16;47;37;63;9.120;34;55;54
