jahr;kandidatnr;stimmen;stimmkreis
2013;2101;19927;101
2013;2101;22046;102
2013;2101;25040;103
2013;2101;25599;104
2013;2101;17481;105
2013;2101;19613;106
2013;2101;17764;107
2013;2101;23326;108
2013;2101;7199;109
2013;2101;12002;110
2013;2102;207;101
2013;2102;213;102
2013;2102;265;103
2013;2102;219;104
2013;2102;122;105
2013;2102;200;106
2013;2102;432;107
2013;2102;212;108
2013;2102;50;109
2013;2102;130;110
2013;2103;310;101
2013;2103;617;102
2013;2103;425;103
2013;2103;300;104
2013;2103;244;105
2013;2103;262;106
2013;2103;293;108
2013;2103;63;109
2013;2103;190;110
2013;2104;115;101
2013;2104;96;102
2013;2104;97;103
2013;2104;116;104
2013;2104;79;105
2013;2104;89;106
2013;2104;60;107
2013;2104;135;108
2013;2104;29;109
2013;2104;60;110
2013;2105;63;101
2013;2105;67;102
2013;2105;52;103
2013;2105;69;104
2013;2105;50;105
2013;2105;46;106
2013;2105;46;107
2013;2105;66;108
2013;2105;22;109
2013;2105;47;110
2013;2106;40;101
2013;2106;45;102
2013;2106;87;103
2013;2106;44;104
2013;2106;33;105
2013;2106;29;106
2013;2106;29;107
2013;2106;52;108
2013;2106;43;109
2013;2106;74;110
2013;2107;188;101
2013;2107;224;103
2013;2107;222;104
2013;2107;178;105
2013;2107;209;106
2013;2107;411;107
2013;2107;182;108
2013;2107;65;109
2013;2107;111;110
2013;2108;136;101
2013;2108;147;102
2013;2108;160;103
2013;2108;133;104
2013;2108;111;105
2013;2108;100;106
2013;2108;141;107
2013;2108;102;108
2013;2108;71;109
2013;2108;94;110
2013;2109;31;101
2013;2109;43;102
2013;2109;48;103
2013;2109;50;104
2013;2109;39;105
2013;2109;72;106
2013;2109;32;107
2013;2109;47;108
2013;2109;9;109
2013;2109;41;110
2013;2110;150;101
2013;2110;193;102
2013;2110;164;103
2013;2110;405;104
2013;2110;141;105
2013;2110;126;106
2013;2110;93;107
2013;2110;10;109
2013;2110;45;110
2013;2111;20;101
2013;2111;24;102
2013;2111;26;103
2013;2111;27;104
2013;2111;19;105
2013;2111;18;106
2013;2111;22;107
2013;2111;26;108
2013;2111;14;109
2013;2111;61;110
2013;2112;104;101
2013;2112;120;102
2013;2112;109;103
2013;2112;155;104
