jahr;kandidatnr;stimmen;stimmkreis
2013;2103;18411;107
2013;2107;21595;102
2013;2110;21405;108
2013;2114;18465;105
2013;2116;26005;104
2013;2118;10793;109
2013;2119;19192;106
2013;2123;20199;101
2013;2125;10714;110
2013;2126;23774;103
2013;1102;33428;120
2013;1104;22406;118
2013;1106;36560;117
2013;1120;41570;119
2013;1124;30779;116
2013;1125;31038;113
2013;1126;29551;111
2013;1134;32097;115
2013;1135;35769;114
2013;1138;32791;112
2013;2104;16975;117
2013;2105;11203;114
2013;2108;13390;113
2013;2109;16200;112
2013;2112;7488;115
2013;2113;9417;118
2013;2117;6688;111
2013;2124;8644;116
2013;2128;14346;119
2013;2129;8225;120
2013;2102;16905;123
2013;2106;10198;127
2013;2111;12145;130
2013;2115;5697;121
2013;2120;19142;122
2013;2121;12204;128
2013;2122;6450;124
2013;2127;9079;129
2013;2130;8876;126
2013;2131;10230;125
2013;3101;7274;114
2013;3106;5291;118
2013;3110;5167;120
2013;3113;7783;117
2013;3114;6990;115
2013;3115;7505;111
2013;3122;6922;112
2013;3124;5171;113
2013;3126;5317;119
2013;3142;10521;116
2013;3102;6179;103
2013;3104;11737;110
2013;3109;3472;104
2013;3112;3391;108
2013;3118;3906;106
2013;3121;3454;107
2013;3123;4682;109
2013;3125;3214;102
2013;3129;2901;101
2013;3130;2837;105
2013;1101;31689;124
2013;1105;32677;121
2013;1121;29579;128
2013;1127;41252;130
2013;1128;35595;127
2013;1136;38157;123
2013;1139;35724;129
2013;1140;34823;126
2013;1141;24248;125
2013;1144;35308;122
2013;1103;23134;108
2013;1107;24865;104
2013;1110;24401;101
2013;1114;25066;109
2013;1116;41734;110
2013;1117;29670;106
2013;1118;26822;107
2013;1119;27054;102
2013;1129;27623;103
2013;1142;22996;105
2013;3105;6299;125
2013;3107;6966;129
2013;3108;8713;122
2013;3111;7247;126
2013;3116;7819;130
2013;3117;5335;124
2013;3119;6646;128
2013;3120;3854;121
2013;3127;5659;127
2013;3128;4790;123
2013;4101;12977;108
2013;4102;10728;102
2013;4105;10471;104
2013;4112;8002;106
2013;4115;5376;105
2013;4116;7721;101
2013;4117;2901;109
2013;4122;11523;103
2013;4136;5122;107
2013;4138;5421;110
2013;4103;7569;126
2013;4106;8467;122
2013;4107;10060;123
2013;4111;9186;128
2013;4113;9042;129
2013;4114;7196;127
2013;4121;2977;121
2013;4123;3006;125
2013;4128;2930;124
2013;4132;7185;130
2013;5102;6005;108
2013;5105;2978;101
2013;5106;4573;103
2013;5107;943;109
2013;5109;5054;102
2013;5110;3217;106
2013;5113;4158;104
2013;5114;2650;107
2013;5117;2675;105
2013;5118;2441;110
2013;5104;3152;113
2013;5108;1629;120
2013;5111;1774;118
2013;5116;1895;116
2013;5120;2919;117
2013;5124;2165;119
2013;5126;1051;111
2013;5127;1629;115
2013;5129;1203;114
2013;5156;1483;112
2013;4104;19934;116
2013;4108;10346;117
2013;4109;6282;115
2013;4118;6839;111
2013;4119;7879;113
2013;4120;4999;120
2013;4124;2873;114
2013;4126;9072;119
2013;4130;3938;118
2013;4134;3761;112
2013;5101;7757;128
2013;5103;5837;123
2013;5112;1633;129
2013;5115;1796;126
2013;5119;3265;122
2013;5121;848;124
2013;5122;2379;130
2013;5123;751;121
2013;5125;1541;127
2013;5128;1910;125
2013;6109;1155;127
2013;6112;926;128
2013;6116;989;124
2013;6118;1706;130
2013;6128;1280;129
2013;6141;1125;126
2013;6145;1176;123
2013;6153;856;121
2013;6157;1387;122
2013;6160;1013;125
2013;6102;1505;114
2013;6104;1612;118
2013;6106;1510;116
2013;6110;1710;119
2013;6114;914;113
2013;6120;1051;112
2013;6131;835;111
2013;6140;709;120
2013;6150;1377;117
2013;6154;1173;115
2013;6101;1923;102
2013;6103;1510;107
2013;6105;1618;108
2013;6107;2447;103
2013;6119;1562;106
2013;6130;2085;104
2013;6136;1504;105
