Nr,Jahr,Name,Wahlkreis
101,2018,München-Hadern,1
102,2018,München-Bogenhausen,1
103,2018,München-Giesing,1
104,2018,München-Milbertshofen,1
105,2018,München-Moosach,1
106,2018,München-Pasing,1
107,2018,München-Ramersdorf,1
108,2018,München-Schwabing,1
109,2018,München-Mitte,1
110,2018,Altötting,1
111,2018,"Bad Tölz-Wolfratshausen, Garmisch-Partenkirchen",1
112,2018,Berchtesgadener Land,1
113,2018,Dachau,1
114,2018,Ebersberg,1
115,2018,Eichstätt,1
116,2018,Erding,1
117,2018,Freising,1
118,2018,Fürstenfeldbruck-Ost,1
119,2018,Ingolstadt,1
120,2018,"Landsberg am Lech, Fürstenfeldbruck-West",1
121,2018,Miesbach,1
122,2018,Mühldorf a.Inn,1
123,2018,München-Land-Nord,1
124,2018,München-Land-Süd,1
125,2018,Neuburg-Schrobenhausen,1
126,2018,Pfaffenhofen a.d.Ilm,1
127,2018,Rosenheim-Ost,1
128,2018,Rosenheim-West,1
129,2018,Starnberg,1
130,2018,Traunstein,1
131,2018,Weilheim-Schongau,1
201,2018,Deggendorf,2
202,2018,Dingolfing,2
203,2018,Kelheim,2
204,2018,Landshut,2
205,2018,Passau-Ost,2
206,2018,Passau-West,2
207,2018,"Regen, Freyung-Grafenau",2
208,2018,Rottal-Inn,2
209,2018,Straubing,2
301,2018,Amberg-Sulzbach,3
302,2018,Cham,3
303,2018,Neumarkt i.d.OPf.,3
304,2018,Regensburg-Land,3
305,2018,Regensburg-Stadt,3
306,2018,Schwandorf,3
307,2018,Tirschenreuth,3
308,2018,Weiden i.d.OPf.,3
401,2018,Bamberg-Land,4
402,2018,Bamberg-Stadt,4
403,2018,Bayreuth,4
404,2018,Coburg,4
405,2018,Forchheim,4
406,2018,Hof,4
407,2018,"Kronach, Lichtenfels",4
408,2018,"Wunsiedel, Kulmbach",4
501,2018,Nürnberg-Nord,5
502,2018,Nürnberg-Ost,5
503,2018,Nürnberg-Süd,5
504,2018,Nürnberg-West,5
505,2018,Ansbach-Nord,5
506,2018,"Ansbach-Süd, Weißenburg-Gunzenhausen",5
507,2018,Erlangen-Höchstadt,5
508,2018,Erlangen-Stadt,5
509,2018,Fürth,5
510,2018,"Neustadt a.d.Aisch-Bad Windsheim, Fürth-Land",5
511,2018,Nürnberger Land,5
512,2018,Roth,5
601,2018,Aschaffenburg-Ost,6
602,2018,Aschaffenburg-West,6
603,2018,Bad Kissingen,6
604,2018,"Haßberge, Rhön-Grabfeld",6
605,2018,Kitzingen,6
606,2018,Main-Spessart,6
607,2018,Miltenberg,6
608,2018,Schweinfurt,6
609,2018,Würzburg-Land,6
610,2018,Würzburg-Stadt,6
701,2018,Augsburg-Stadt-Ost,7
702,2018,Augsburg-Stadt-West,7
703,2018,Aichach-Friedberg,7
704,2018,"Augsburg-Land, Dillingen",7
705,2018,Augsburg-Land-Süd,7
706,2018,Donau-Ries,7
707,2018,Günzburg,7
708,2018,Kaufbeuren,7
709,2018,"Kempten, Oberallgäu",7
710,2018,"Lindau, Sonthofen",7
711,2018,Marktoberdorf,7
712,2018,Memmingen,7
713,2018,Neu-Ulm,7
101,2013,München-Hadern,1
102,2013,München-Bogenhausen,1
103,2013,München-Giesing,1
104,2013,München-Milbertshofen,1
105,2013,München-Moosach,1
106,2013,München-Pasing,1
107,2013,München-Ramersdorf,1
108,2013,München-Schwabing,1
109,2013,Altötting,1
110,2013,"Bad Tölz-Wolfratshausen,Garmisch-Partenkirchen",1
111,2013,Berchtesgadener Land,1
112,2013,Dachau,1
113,2013,Ebersberg,1
114,2013,Eichstätt,1
115,2013,Erding,1
116,2013,Freising,1
117,2013,Fürstenfeldbruck-Ost,1
118,2013,Ingolstadt,1
119,2013,"Landsberg am Lech, Fürstenfeldbruck-West",1
120,2013,Miesbach,1
121,2013,Mühldorf a.Inn,1
122,2013,München-Land-Nord,1
123,2013,München-Land-Süd,1
124,2013,Neuburg-Schrobenhausen,1
125,2013,Pfaffenhofen a.d.Ilm,1
126,2013,Rosenheim-Ost,1
127,2013,Rosenheim-West,1
128,2013,Starnberg,1
129,2013,Traunstein,1
130,2013,Weilheim-Schongau,1
201,2013,Deggendorf,2
202,2013,Dingolfing,2
203,2013,Kelheim,2
204,2013,Landshut,2
205,2013,Passau-Ost,2
206,2013,Passau-West,2
207,2013,"Regen, Freyung-Grafenau",2
208,2013,Rottal-Inn,2
209,2013,Straubing,2
301,2013,Amberg-Sulzbach,3
302,2013,Cham,3
303,2013,Neumarkt i.d.OPf.,3
304,2013,Regensburg-Land,3
305,2013,Regensburg-Stadt,3
306,2013,Schwandorf,3
307,2013,Tirschenreuth,3
308,2013,Weiden i.d.OPf.,3
401,2013,Bamberg-Land,4
402,2013,Bamberg-Stadt,4
403,2013,Bayreuth,4
404,2013,Coburg,4
405,2013,Forchheim,4
406,2013,Hof,4
407,2013,"Kronach, Lichtenfels",4
408,2013,"Wunsiedel, Kulmbach",4
501,2013,Nürnberg-Nord,5
502,2013,Nürnberg-Ost,5
503,2013,Nürnberg-Süd,5
504,2013,Nürnberg-West,5
505,2013,Ansbach-Nord,5
506,2013,"Ansbach-Süd, Weißenburg-Gunzenhausen",5
507,2013,Erlangen-Höchstadt,5
508,2013,Erlangen-Stadt,5
509,2013,Fürth,5
510,2013,"Neustadt a.d.Aisch-Bad Windsheim, Fürth-Land",5
511,2013,Nürnberger Land,5
512,2013,Roth,5
601,2013,Aschaffenburg-Ost,6
602,2013,Aschaffenburg-West,6
603,2013,Bad Kissingen,6
604,2013,"Haßberge, Rhön-Grabfeld",6
605,2013,Kitzingen,6
606,2013,Main-Spessart,6
607,2013,Miltenberg,6
608,2013,Schweinfurt,6
609,2013,Würzburg-Land,6
610,2013,Würzburg-Stadt,6
701,2013,Augsburg-Stadt-Ost,7
702,2013,Augsburg-Stadt-West,7
703,2013,Aichach-Friedberg,7
704,2013,"Augsburg-Land, Dillingen",7
705,2013,Augsburg-Land-Süd,7
706,2013,Donau-Ries,7
707,2013,Günzburg,7
708,2013,Kaufbeuren,7
709,2013,"Kempten, Oberallgäu",7
710,2013,"Lindau, Sonthofen",7
711,2013,Marktoberdorf,7
712,2013,Memmingen,7
713,2013,Neu-Ulm,7
