WahlkreisId;ParteiId;KandidatId;KandidatName;KandidatVorname;StimmzettelReihenfolge;PlatzNummer;Gesamtstimmen;Zweitstimmen;301;302;303;304;305;306;307;308
3;1;1;Füracker;Albert;1;1;132637;94099;12111;12282;38538;17212;12542;16633;12666;10653
3;1;2;Stierstorfer;Sylvia;16;2;41484;4837;112;324;264;36647;3567;381;96;93
3;1;3;Rieger;Dr. Franz;14;3;33407;7793;309;570;1058;4736;25614;632;268;220
3;1;4;Flierl;Alexander;10;4;33394;2773;287;808;311;147;279;30621;192;749
3;1;5;Schwartz;Dr. Harald;15;5;32384;1505;30879;75;242;131;226;588;96;147
3;1;6;Hopp;Dr. Gerhard;11;6;32319;881;61;31438;110;156;209;267;29;49
3;1;7;Reiß;Tobias;13;7;30149;1531;142;70;104;153;167;110;28618;785
3;1;8;Oetzinger;Dr. Stephan;12;8;26686;2596;313;62;124;80;125;212;1680;24090
3;1;9;Blümel;Rita;2;9;25256;25256;1470;1825;6411;8913;2347;1879;1370;1041
3;1;10;Bärthlein;Thomas;3;10;22979;22979;15116;238;1537;234;272;1332;1668;2582
3;1;11;Huber;Helga;7;11;21626;21626;89;63;21002;120;115;77;56;104
3;1;12;Haimerl;Barbara;4;12;12968;12968;206;9898;335;989;505;771;128;136
3;1;13;Lehner;Michael;5;13;11619;11619;199;470;922;2836;6280;476;254;182
3;1;14;Wendl;Manfred;9;14;10981;10981;525;797;430;444;302;7968;258;257
3;1;15;Nachtigall;Dagmar;8;15;10378;10378;231;217;253;130;128;396;2155;6868
3;1;16;Renner;Tanja;6;16;9688;9688;609;231;372;521;592;289;6447;627
3;2;1;Karl;Annette;1;1;28859;19865;3205;1035;1535;1392;3329;2920;6449;8994
3;2;2;Wild;Margit;3;2;16184;6381;572;315;423;3248;9803;976;148;699
3;2;3;Bergmann;Uwe;2;3;15381;4297;11084;134;245;247;494;552;168;2457
3;2;4;Wein;Peter;4;4;11069;1716;387;169;148;364;451;9353;58;139
3;2;5;Deiml;Jutta;5;5;8255;2222;367;99;342;138;330;373;6033;573
3;2;6;Jobst;Matthias;6;6;7980;1659;81;53;87;6321;1169;158;35;76
3;2;7;Rüger;Dr. Armin;10;7;5898;5898;5090;49;158;78;237;141;46;99
3;2;8;Madeisky;Andre;8;8;5132;515;146;30;4617;40;132;61;46;60
3;2;9;Kopp;Franz;7;9;4356;536;59;3820;24;50;80;253;27;43
3;2;10;Tasali-Stoll;Dr. Sema;15;10;3423;3423;68;34;72;67;192;88;234;2668
3;2;11;Thanheiser;Evi;11;11;3109;3109;163;45;49;55;140;2431;25;201
3;2;12;Wagner;Dr. Carolin;9;12;2170;2170;74;30;49;329;1442;159;23;64
3;2;13;Meier;Sebastian;16;13;1889;1889;28;1647;18;27;54;57;12;46
3;2;14;Lutz;Petra;13;14;1347;1347;36;19;315;729;113;55;41;39
3;2;15;Eisinger;Philipp;14;15;1285;1285;13;2;1185;7;16;14;9;39
3;2;16;Bittner;Raphael;12;16;1030;1030;51;13;38;34;87;51;403;353
3;3;1;Hanisch;Joachim;1;1;34915;21718;3082;3509;3025;4720;3200;13197;2282;1900
3;3;2;Gotthardt;Tobias;2;2;23330;5873;417;139;502;17457;1080;3607;55;73
3;3;3;Radler;Kerstin;4;3;17379;7537;536;532;771;4351;9842;772;319;256
3;3;4;Riedl;Robert;3;4;15563;3359;385;12204;406;848;644;527;316;233
3;3;5;Sitter;Alexandra;7;5;12419;1398;11021;101;246;216;315;274;122;124
3;3;6;Weidacher;Dr. (Univ. Florenz) Herbert;14;6;10442;10442;78;9350;112;164;187;387;60;104
3;3;7;Penkala;Matthias;6;7;10152;376;74;24;9776;86;82;49;29;32
3;3;8;Schmidt;Bernhard;5;8;9993;1166;131;48;78;102;110;134;8827;563
3;3;9;Meier;Karl;8;9;9453;3180;250;62;105;93;129;244;2297;6273
3;3;10;Strobl;Julia;11;10;7468;7468;996;216;5100;425;276;190;151;114
3;3;11;Jäger;Alfred;16;11;5192;5192;335;149;181;236;104;3998;90;99
3;3;12;Hetznegger;Manfred;13;12;4080;4080;67;88;109;1375;2260;133;29;19
3;3;13;Landsmann;Hans-Peter;15;13;3275;3275;32;67;39;2707;358;45;13;14
3;3;14;Groß;Tobias;9;14;3271;3271;104;60;98;175;126;122;209;2377
3;3;15;Riedl;Thomas;12;15;2828;2828;183;195;57;72;58;50;1951;262
3;3;16;Lehnerer;Doris;10;16;2517;2517;2097;34;62;96;78;59;43;48
3;4;1;Mistol;Jürgen;1;1;50451;27957;4052;2533;4625;8171;22494;3579;2133;2864
3;4;2;Toman;Anna;2;2;16193;11206;550;236;503;574;8211;392;4987;740
3;4;3;Stadler;Josef;12;3;13040;1504;92;129;93;11536;1041;70;33;46
3;4;4;Ebenburger;Dr. Klaus;10;4;11313;2470;8843;106;328;229;975;307;164;361
3;4;5;Bergmann;Klaus;8;5;11151;5109;484;197;482;517;1956;271;1202;6042
3;4;6;Hauff;Siegfried;16;6;8845;120;17;5;8725;12;42;13;14;17
