id;jahr;vorname;name;partei
1850101;2018;Dr. Markus;Söder;1301
1850102;2018;Joachim;Herrmann;1301
1850103;2018;Hans;Herold;1301
1850104;2018;Manuel;Westphal;1301
1850105;2018;Petra;Guttenberger;1301
1850106;2018;Norbert;Dünkel;1301
1850107;2018;Andreas;Schalk;1301
1850108;2018;Karl;Freller;1301
1850109;2018;Volker;Bauer;1301
1850110;2018;Walter;Nussel;1301
1850111;2018;Barbara;Regitz;1301
1850112;2018;Jochen;Kohler;1301
1850113;2018;Alfons;Brandl;1301
1850114;2018;Renate;Ixmeier;1301
1850115;2018;Cornelia;Trinkl;1301
1850116;2018;Peter;Höfler;1301
1850117;2018;Ursula;Dietzel;1301
1850118;2018;Bastian;Gebhardt;1301
1850119;2018;Jörg;Volleth;1301
1850120;2018;Alexander;Hommel;1301
1850121;2018;Gerlinde;Mathes;1301
1850122;2018;Gabriele;Lay;1301
1850123;2018;Lutz;Quester;1301
1850124;2018;Alexandra;Beugel-Hilz;1301
1850201;2018;Horst;Arnold;1302
1850202;2018;Alexandra;Hiersemann;1302
1850203;2018;Stefan;Schuster;1302
1850204;2018;Arif;Tasdelen;1302
1850205;2018;Harry;Scheuenstuhl;1302
1850206;2018;Andrea;Lipka;1302
1850207;2018;Kerstin;Gardill;1302
1850208;2018;Claudia;Arabackyj;1302
1850209;2018;Marcel;Schneider;1302
1850210;2018;Dr. Philipp;Dees;1302
1850211;2018;Harald;Dösel;1302
1850212;2018;Norbert;Ringler;1302
1850213;2018;Manuela;Biersack;1302
1850214;2018;Dr. Katrin;Hurle;1302
1850215;2018;Monika;Bentz;1302
1850216;2018;Lukas;Ott;1302
1850217;2018;Andreas;Schermeyer;1302
1850218;2018;Martina;Borgendale;1302
1850219;2018;Felix;Gmöhling;1302
1850220;2018;Vitali;Liberov;1302
1850221;2018;Svenja;Spiegel-Schmidt;1302
1850222;2018;Jonas;Zinnecker;1302
1850223;2018;Stefan;Fleischmann;1302
1850224;2018;Dionisia;Vlachou;1302
1850301;2018;Dr. Peter;Bauer;1303
1850302;2018;Gabi;Schmidt;1303
1850303;2018;Wolfgang;Hauber;1303
1850304;2018;Thomas;Schneider;1303
1850305;2018;Christian;Enz;1303
1850306;2018;Angelika;Feisthammel;1303
1850307;2018;Dr. Gunther;Moll;1303
1850308;2018;Stephan;Beck;1303
1850309;2018;Marco;Meier;1303
1850310;2018;Marion;Kuhnert;1303
1850311;2018;Jürgen;Dörfler;1303
