Ingolstadt (Krfr.St),9161,59154
"München, Landeshauptstadt",9162,53389
Rosenheim (Krfr.St),9163,39979
Altötting (Lkr),9171,44587
Berchtesgadener Land (Lkr),9172,36464
Bad Tölz-Wolfratshausen (Lkr),9173,37988
Dachau (Lkr),9174,39050
Ebersberg (Lkr),9175,40686
Eichstätt (Lkr),9176,38208
Erding (Lkr),9177,38024
Freising (Lkr),9178,48296
Fürstenfeldbruck (Lkr),9179,40646
Garmisch-Partenkirchen (Lkr),9180,35929
Landsberg am Lech (Lkr),9181,41290
Miesbach (Lkr),9182,37781
Mühldorf a.Inn (Lkr),9183,37777
München (Lkr),9184,56836
Neuburg-Schrobenhausen (Lkr),9185,37263
Pfaffenhofen a.d.Ilm (Lkr),9186,46241
Rosenheim (Lkr),9187,37841
Starnberg (Lkr),9188,45480
Traunstein (Lkr),9189,40305
Weilheim-Schongau (Lkr),9190,41092
Landshut (Krfr.St),9261,39501
Passau (Krfr.St),9262,39108
Straubing (Krfr.St),9263,38362
Deggendorf (Lkr),9271,38353
Freyung-Grafenau (Lkr),9272,32880
Kelheim (Lkr),9273,37235
Landshut (Lkr),9274,38671
Passau (Lkr),9275,34061
Regen (Lkr),9276,34296
Rottal-Inn (Lkr),9277,34314
Straubing-Bogen (Lkr),9278,34068
Dingolfing-Landau (Lkr),9279,50194
Amberg (Krfr.St),9361,41785
Regensburg (Krfr.St),9362,47700
Weiden i.d.OPf. (Krfr.St),9363,35097
Amberg-Sulzbach (Lkr),9371,37095
Cham (Lkr),9372,34309
Neumarkt i.d.OPf. (Lkr),9373,37932
Neustadt a.d.Waldnaab (Lkr),9374,36155
Regensburg (Lkr),9375,38466
Schwandorf (Lkr),9376,37003
Tirschenreuth (Lkr),9377,36671
Bamberg (Krfr.St),9461,38672
Bayreuth (Krfr.St),9462,40225
Coburg (Krfr.St),9463,48982
Hof (Krfr.St),9464,36268
Bamberg (Lkr),9471,36205
Bayreuth (Lkr),9472,36563
Coburg (Lkr),9473,34349
Forchheim (Lkr),9474,38740
Hof (Lkr),9475,37398
Kronach (Lkr),9476,35186
Kulmbach (Lkr),9477,37462
Lichtenfels (Lkr),9478,36413
Wunsiedel i.Fichtelgebirge (Lkr),9479,37473
Ansbach (Krfr.St),9561,40341
Erlangen (Krfr.St),9562,56356
Fürth (Krfr.St),9563,43028
Nürnberg (Krfr.St),9564,45637
Schwabach (Krfr.St),9565,39368
Ansbach (Lkr),9571,35433
Erlangen-Höchstadt (Lkr),9572,42741
Fürth (Lkr),9573,35230
Nürnberger Land (Lkr),9574,39606
Neustadt a.d.Aisch-Bad Windsheim (Lkr),9575,33807
Roth (Lkr),9576,36638
Weißenburg-Gunzenhausen (Lkr),9577,35602
Aschaffenburg (Krfr.St),9661,41703
Schweinfurt (Krfr.St),9662,47840
Würzburg (Krfr.St),9663,39427
Aschaffenburg (Lkr),9671,38646
Bad Kissingen (Lkr),9672,35249
Rhön-Grabfeld (Lkr),9673,37935
Haßberge (Lkr),9674,34965
Kitzingen (Lkr),9675,36313
Miltenberg (Lkr),9676,37695
Main-Spessart (Lkr),9677,41664
Schweinfurt (Lkr),9678,33462
Würzburg (Lkr),9679,36110
Augsburg (Krfr.St),9761,43748
Kaufbeuren (Krfr.St),9762,36090
Kempten (Allgäu) (Krfr.St),9763,38896
Memmingen (Krfr.St),9764,39989
Aichach-Friedberg (Lkr),9771,34294
Augsburg (Lkr),9772,37862
Dillingen a.d.Donau (Lkr),9773,38004
Günzburg (Lkr),9774,38984
Neu-Ulm (Lkr),9775,42025
Lindau (Bodensee) (Lkr),9776,40796
Ostallgäu (Lkr),9777,39406
Unterallgäu (Lkr),9778,40403
Donau-Ries (Lkr),9779,41692
Oberallgäu (Lkr),9780,36255
